id,name,quantity,deleted
22380,OTA Camera Standard,3,0
20458,Suite Familiare Vista Piscina,0,1
2761,Camera  Standard,14,0
8664,* OVER * (overbooking),10,0
4346,* JOLLY * (spostamenti),10,0
2762,Camera Superior,8,0
2763,Camera Deluxe,5,0
3231,Suite Familiare,1,0
2767,Suite Familiare Vista Piscina,1,0
3229,Camera Matrimoniale con pouff letto,0,1
2765,Appartamento Area Piscina,18,0
3230,Camera Tripla,0,1
2764,Appartamento Area Giardino,28,0
5375,Villino 2Ten,1,0
5376,Villino Double,1,0
10377,Appartamento Vista Piscina,0,1
2760,-,0,1
2766,-,0,1
10376,Appartamento Standard,0,1
