booking_code,dataset_year,status,booking_type,checkin_date,checkout_date,checkin_month,nights,adults_number,children_number,infants_number,guests_number,customer_code,customer_country,customer_province,customer_region,customer_lang,channel_code,channel_name,source,medium,room_id,room_name,arrangement_code,arrangement_name,policy_id,policy_name,agency_code,agency_kind,group_code,group_type,total_stay_amount,total_extra_amount,total_taxes_amount,total_amount,adr,creation_datetime,cancellation_datetime,lead_time_days,is_canceled
B-F4E181301321,2024,CANCELED,IND,2024-06-02,2024-06-07,2024-06,5,2,0,0,2,C-8DFAFCDC0A13,PL,,,PL,Booking.com,Booking.com,,OTA,2764,Appartamento Area Giardino,BB,Bed & Breakfast,1,Standard Policy,,,,,780.0,0,0,780.0,156.0,2023-11-06 10:08:31,2023-11-12 16:17:00,209,1
B-DAE321ED8649,2024,CONFIRMED,IND,2024-08-17,2024-08-24,2024-08,7,2,2,0,4,C-437D04034FFE,IT,BO,EMILIA-ROMAGNA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,HB,Mezza Pensione,1,Standard Policy,,,,,3290.0,122.5,0,3412.5,470.0,2023-11-18 13:01:24,,273,0
B-A86755ADEA03,2024,CONFIRMED,IND,2024-06-30,2024-07-07,2024-06,7,2,3,0,5,C-C793DA7E6070,IT,BA,PUGLIA,IT,bd,Booking Engine,DigitalDept Luglio,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1790.0,0,0,1790.0,255.71,2023-11-18 15:29:15,,225,0
B-4569AB368000,2024,CONFIRMED,IND,2024-06-16,2024-06-23,2024-06,7,2,2,0,4,C-E21E9733C117,IT,MB,LOMBARDIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1504.0,86.0,0,1590.0,214.86,2023-11-20 10:37:00,,209,0
B-D13A84C28FB9,2024,CONFIRMED,IND,2024-06-22,2024-06-29,2024-06,7,2,2,0,4,C-5EE86274C4B0,IT,LO,LOMBARDIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2763,Camera Deluxe,FB,Pensione Completa,1,Standard Policy,,,,,1790.0,1.5,0,1791.5,255.71,2023-11-21 11:26:11,,214,0
B-DC59163954BA,2024,CONFIRMED,IND,2024-07-07,2024-07-14,2024-07,7,2,2,0,4,C-0967CB071F4F,IT,BA,PUGLIA,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1790.0,5.5,0,1795.5,255.71,2023-11-21 14:38:27,,229,0
B-6E883F2C9F29,2024,CONFIRMED,IND,2024-07-21,2024-07-28,2024-07,7,2,3,0,5,C-7889B4BF1C0F,IT,BA,PUGLIA,IT,bd,Booking Engine,DigitalDept_SPECIALE_GIUGNO,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,1947.0,143.0,0,2090.0,278.14,2023-11-21 16:01:33,,243,0
B-6B2B09A85C91,2024,CONFIRMED,IND,2024-07-06,2024-07-13,2024-07,7,4,0,0,4,C-43064B6F4592,IT,RA,EMILIA-ROMAGNA,IT,bd,Booking Engine,direct,Preventivo da Minisito,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,2090.0,124.5,0,2214.5,298.57,2023-11-21 17:01:06,,228,0
B-12B3BA255E25,2024,CONFIRMED,IND,2024-06-19,2024-06-30,2024-06,11,3,2,0,5,C-1731A4E11C5D,IT,TO,PIEMONTE,IT,bd,Booking Engine,direct,Conferma da Operatore,2764,Appartamento Area Giardino,FB,Pensione Completa,1,Standard Policy,,,,,2643.5,146.5,0,2790.0,240.32,2023-11-22 12:28:44,,210,0
B-5C3F3C28BADD,2024,CONFIRMED,IND,2024-06-21,2024-06-29,2024-06,8,2,2,0,4,C-D448759E6798,IT,VI,VENETO,IT,bd,Booking Engine,direct,Conferma da Operatore,2765,Appartamento Area Piscina,HB,Mezza Pensione,1,Standard Policy,,,,,1734.5,105.5,0,1840.0,216.81,2023-11-22 19:28:44,,212,0
