booking_code,customer_code,guest_seq,guest_code,age_at_checkin,sex
B-F4E181301321,C-8DFAFCDC0A13,1,GU-321EF24FC689,,
B-F4E181301321,C-8DFAFCDC0A13,2,GU-95628D3890D4,,
B-DAE321ED8649,C-437D04034FFE,1,GU-C6D276B2F605,52,M
B-DAE321ED8649,C-437D04034FFE,2,GU-33AFE4D8E6D8,42,F
B-DAE321ED8649,C-437D04034FFE,3,GU-D2E87D0FADA4,14,M
B-DAE321ED8649,C-437D04034FFE,4,GU-3F5E799F9ED5,10,F
B-A86755ADEA03,C-C793DA7E6070,1,GU-CC54F5866754,50,M
B-A86755ADEA03,C-C793DA7E6070,2,GU-361153AFC693,43,F
B-A86755ADEA03,C-C793DA7E6070,3,GU-5E266FA6E5AC,11,F
B-A86755ADEA03,C-C793DA7E6070,4,GU-DADD6FC85B96,8,M
B-A86755ADEA03,C-C793DA7E6070,5,GU-135511B31B50,7,M
B-4569AB368000,C-E21E9733C117,1,GU-98D76B6DDA19,47,M
B-4569AB368000,C-E21E9733C117,2,GU-053ADE1FE4A2,44,F
B-4569AB368000,C-E21E9733C117,3,GU-4794D179E4AA,13,M
B-4569AB368000,C-E21E9733C117,4,GU-CC362A912ACD,8,M
B-D13A84C28FB9,C-5EE86274C4B0,1,GU-ABD6DD5D8D69,39,M
B-D13A84C28FB9,C-5EE86274C4B0,2,GU-FD1D2E5ED79D,39,F
B-D13A84C28FB9,C-5EE86274C4B0,3,GU-D5B65BF388E1,8,M
B-D13A84C28FB9,C-5EE86274C4B0,4,GU-EAB890B94F09,5,M
B-DC59163954BA,C-0967CB071F4F,1,GU-CF51A3918A08,59,M
B-DC59163954BA,C-0967CB071F4F,2,GU-9F70122B3E13,51,F
B-DC59163954BA,C-0967CB071F4F,3,GU-8A83AF4F877C,11,M
B-DC59163954BA,C-0967CB071F4F,4,GU-49AED26FF096,14,F
B-6E883F2C9F29,C-7889B4BF1C0F,1,GU-733D92F35696,45,M
B-6E883F2C9F29,C-7889B4BF1C0F,2,GU-580EB87F6D40,43,F
B-6E883F2C9F29,C-7889B4BF1C0F,3,GU-BBC325478D08,12,F
B-6E883F2C9F29,C-7889B4BF1C0F,4,GU-1A93E529E684,4,M
B-6E883F2C9F29,C-7889B4BF1C0F,5,GU-7C63AF6408C0,4,F
B-6B2B09A85C91,C-43064B6F4592,1,GU-08E77C086607,54,M
B-6B2B09A85C91,C-43064B6F4592,2,GU-CF7AC56CBA49,54,F
B-6B2B09A85C91,C-43064B6F4592,3,GU-B78A2C79B035,14,F
B-6B2B09A85C91,C-43064B6F4592,4,GU-1571DDF91CE6,14,F
B-12B3BA255E25,C-1731A4E11C5D,1,GU-75687BAE2BE9,64,F
B-12B3BA255E25,C-1731A4E11C5D,2,GU-A0609DE86962,39,F
B-12B3BA255E25,C-1731A4E11C5D,3,GU-8763CD1855D8,65,M
B-12B3BA255E25,C-1731A4E11C5D,4,GU-226FC7C55A57,9,F
B-12B3BA255E25,C-1731A4E11C5D,5,GU-FF772873220B,6,M
B-5C3F3C28BADD,C-D448759E6798,1,GU-E2E21AE84C36,51,M
B-5C3F3C28BADD,C-D448759E6798,2,GU-469497FD18C0,47,F
B-5C3F3C28BADD,C-D448759E6798,3,GU-5CD309798EC5,17,M
B-5C3F3C28BADD,C-D448759E6798,4,GU-350887EA6A26,17,M
B-CA020C721892,C-EDE893C8416E,1,GU-01794496732C,47,M
B-CA020C721892,C-EDE893C8416E,2,GU-369A04A8D987,47,F
B-CA020C721892,C-EDE893C8416E,3,GU-726CC9D15980,9,M
B-CA020C721892,C-EDE893C8416E,4,GU-DC547B1C2B93,6,M
B-F01752C860F0,C-AB60A4117596,1,GU-D106A97BA710,61,F
B-F01752C860F0,C-AB60A4117596,2,GU-C78DF29BD4ED,65,M
B-50436C75D175,C-642E40B2CF5A,1,GU-35FF434DFD1A,67,F
B-50436C75D175,C-642E40B2CF5A,2,GU-64B72C6C4007,71,M
B-E0A6117A65E5,C-95258A1DE55F,1,GU-228A09352BB9,39,M
B-E0A6117A65E5,C-95258A1DE55F,2,GU-EC69CB0905F2,28,F
B-E0A6117A65E5,C-95258A1DE55F,3,GU-0E368F09A88A,2,F
B-B45B35C6BDF8,C-8546FF320EF1,1,GU-46235C46A5F3,,
B-B45B35C6BDF8,C-8546FF320EF1,2,GU-783B7EFC0B1D,,
B-B45B35C6BDF8,C-8546FF320EF1,3,GU-2C8205D5CA9D,,
B-B45B35C6BDF8,C-8546FF320EF1,4,GU-6E4DE35861C7,,
B-B45B35C6BDF8,C-8546FF320EF1,5,GU-0E13C0548940,,
B-E8C4861E9D0C,C-7ED0AA4A8209,1,GU-CDD1B96C68B4,44,F
B-E8C4861E9D0C,C-7ED0AA4A8209,2,GU-1FA6D7C62437,45,M
B-E8C4861E9D0C,C-7ED0AA4A8209,3,GU-3EAC319CED44,14,M
B-E8C4861E9D0C,C-7ED0AA4A8209,4,GU-C5986811BC6F,11,M
B-1043B1897A94,C-3CA1EA7D56F2,1,GU-D0A62D58608C,,
B-1043B1897A94,C-3CA1EA7D56F2,2,GU-E672573B2300,,
B-1043B1897A94,C-3CA1EA7D56F2,3,GU-A95F969D5D2C,,
B-1043B1897A94,C-3CA1EA7D56F2,4,GU-04B49B455622,,
B-F4D95B152C1F,C-88F99C1837E3,1,GU-65D008BCCFA7,46,F
B-F4D95B152C1F,C-88F99C1837E3,2,GU-F31334F1DD5F,16,M
B-F4D95B152C1F,C-88F99C1837E3,3,GU-5909BEB60201,14,M
B-F4D95B152C1F,C-88F99C1837E3,4,GU-CEE82BB02485,51,M
B-4593563A04F0,C-206853E1C6C0,1,GU-790C2D03CBFE,50,M
B-4593563A04F0,C-206853E1C6C0,2,GU-FFD1DB7071A7,45,F
B-4593563A04F0,C-206853E1C6C0,3,GU-E53D022223F1,16,M
B-4593563A04F0,C-206853E1C6C0,4,GU-58B487802008,13,M
B-484A82DFF384,C-3833BECE7114,1,GU-AF83A0DAA983,,
B-484A82DFF384,C-3833BECE7114,2,GU-DBCC3278D9BB,,
B-484A82DFF384,C-3833BECE7114,3,GU-F10378D7BB97,,
B-F6198E0BF39E,C-0E4FA6A8C6E2,1,GU-76187F4AF671,66,M
B-F6198E0BF39E,C-0E4FA6A8C6E2,2,GU-47DFD94DE7C2,49,F
B-F6198E0BF39E,C-0E4FA6A8C6E2,3,GU-89A111DD1EF7,8,M
B-F6198E0BF39E,C-0E4FA6A8C6E2,4,GU-BF9102702719,60,F
B-5CE31C37132A,C-4C62740EE002,1,GU-6262874A4637,,
B-5CE31C37132A,C-4C62740EE002,2,GU-733DE2C562CC,,
B-5CE31C37132A,C-4C62740EE002,3,GU-4D31FFDBC382,,
B-7AA56E5691BC,C-5DD14EB7DD39,1,GU-A2045472D786,49,M
B-7AA56E5691BC,C-5DD14EB7DD39,2,GU-C138C1DFCDCE,46,F
B-7AA56E5691BC,C-5DD14EB7DD39,3,GU-649069D4C9C9,10,M
B-7AA56E5691BC,C-5DD14EB7DD39,4,GU-9703A30253DC,68,F
B-7AA56E5691BC,C-5DD14EB7DD39,5,GU-1E12D40E59AD,33,F
B-F7174AB67867,C-A68C8D199126,1,GU-9F22EA25BC2E,,
B-F7174AB67867,C-A68C8D199126,2,GU-7C82602E46EA,,
B-F7174AB67867,C-A68C8D199126,3,GU-2B2EFD560D95,,
B-67A1C1A83C07,C-31ACB07D9F76,1,GU-BDA38C824971,,
B-67A1C1A83C07,C-31ACB07D9F76,2,GU-A85D2F5B7BA6,,
B-67A1C1A83C07,C-31ACB07D9F76,3,GU-8EFFF321FC65,,
