request_code,dataset_year,checkin_date,checkout_date,checkin_month,nights,adults_number,children_number,infants_number,customer_code,customer_country,customer_lang,channel_code,channel_name,arrangement_code,arrangement_name,creation_datetime,lead_time_days,quotation_count,has_quotation,quotation_min_amount,quotation_max_amount
R-E61689E0052F,2024,2024-06-16,2024-06-23,2024-06,7,2,2,0,C-EEEA08DEB044,,IT,bd,Booking Engine,,,2023-07-25 05:24:43,327,0,0,,
R-1B9AB8E167D5,2024,2024-07-01,2024-07-08,2024-07,7,2,1,0,C-95D7228C7DEA,IT,IT,bd,Booking Engine,,,2023-07-25 12:56:59,342,0,0,,
R-336B4DBB55D2,2024,2024-07-13,2024-07-26,2024-07,13,2,1,0,C-0AB1C86A82B7,,IT,bd,Booking Engine,,,2023-07-26 16:56:23,353,0,0,,
R-340E8B548DB6,2024,2024-06-30,2024-07-07,2024-06,7,3,1,0,C-FC2E7556C71F,IT,IT,bd,Booking Engine,,,2023-08-01 09:34:16,334,0,0,,
R-9BF3EF5D80E6,2024,2023-12-29,2024-01-05,2023-12,7,2,0,0,C-D9976E4854FC,,IT,bd,Booking Engine,,,2023-08-06 09:23:36,145,0,0,,
R-940D0599136A,2024,2024-07-14,2024-07-21,2024-07,7,2,2,0,C-C6764559B08B,,IT,bd,Booking Engine,,,2023-08-12 11:35:15,337,0,0,,
R-3943D467F148,2024,2024-07-14,2024-07-21,2024-07,7,2,2,0,C-C6764559B08B,,IT,bd,Booking Engine,SAI,Soft All Inclusive,2023-08-12 13:31:40,337,0,0,,
R-C9D048571CC3,2024,2024-08-04,2024-08-11,2024-08,7,2,1,0,C-D1BC32DCAEBF,,IT,bd,Booking Engine,,,2023-08-13 10:56:58,357,0,0,,
R-B05197377F52,2024,2024-07-06,2024-07-13,2024-07,7,4,2,2,C-F0EE6E843666,IT,IT,bd,Booking Engine,,,2023-08-17 15:26:23,324,0,0,,
R-E3CEB43400CA,2024,2024-07-21,2024-07-28,2024-07,7,2,2,0,C-7B2C20CA7B3C,,IT,bd,Booking Engine,,,2023-08-19 09:56:27,337,0,0,,
R-C8C7D6EC0F5F,2024,2024-06-22,2024-06-29,2024-06,7,2,1,1,C-2583053D1D7F,IT,IT,bd,Booking Engine,,,2023-08-25 18:35:08,302,0,0,,
R-8C40201B9E2C,2024,2024-07-22,2024-07-29,2024-07,7,2,0,1,C-A912E0F3701C,,IT,bd,Booking Engine,,,2023-08-25 20:37:18,332,0,0,,
R-A5464967A1AF,2024,2024-08-10,2024-08-17,2024-08,7,2,0,0,C-75C443F308FD,,IT,bd,Booking Engine,,,2023-08-26 14:35:58,350,0,0,,
R-EAEC0AAA4975,2024,2024-08-17,2024-08-24,2024-08,7,2,0,2,C-DE19B040FCC2,,IT,bd,Booking Engine,,,2023-08-28 08:25:55,355,0,0,,
R-BE990E65EA90,2024,2024-08-17,2024-08-24,2024-08,7,2,2,0,C-78F96DF41536,,IT,bd,Booking Engine,,,2023-08-31 12:40:27,352,0,0,,
R-CD8FE22FEB5B,2024,2024-06-22,2024-06-30,2024-06,8,2,1,0,C-717396C49D0E,,IT,bd,Booking Engine,,,2023-09-04 12:11:25,292,0,0,,
R-D843767B6978,2024,2024-08-11,2024-08-18,2024-08,7,2,2,0,C-0AB475154486,,IT,bd,Booking Engine,,,2023-09-10 13:52:06,336,0,0,,
R-02BC50D1D04F,2024,2024-07-10,2024-07-14,2024-07,4,2,0,1,C-C45E7B4AB9CF,,IT,bd,Booking Engine,,,2023-09-14 18:28:36,300,0,0,,
R-15B091B027FF,2024,2024-07-07,2024-07-14,2024-07,7,2,1,0,C-E3C29E89A816,IT,IT,bd,Booking Engine,,,2023-09-16 12:32:54,295,0,0,,
R-0E1B65C60BA2,2024,2023-12-29,2024-01-02,2023-12,4,3,0,0,C-5C95534791E3,IT,IT,bd,Booking Engine,,,2023-09-17 20:03:29,103,0,0,,
R-28847B3215FA,2024,2024-06-01,2024-06-08,2024-06,7,2,0,0,C-9D38D54C7428,,IT,bd,Booking Engine,,,2023-09-20 15:12:01,255,1,1,1190.0,1190.0
R-FF714D18F37F,2024,2024-07-08,2024-07-22,2024-07,14,5,3,0,C-8803170D5FCA,,IT,bd,Booking Engine,,,2023-09-30 15:41:08,282,1,1,3990.0,3990.0
R-23DD99EBA41F,2024,2024-07-08,2024-07-27,2024-07,19,2,2,0,C-1F50A5182CDF,,IT,bd,Booking Engine,,,2023-10-10 15:53:12,272,1,1,5990.0,5990.0
R-EA9A70328C50,2024,2024-06-01,2024-06-08,2024-06,7,2,0,0,C-F269A5404EC8,IT,IT,bd,Booking Engine,,,2023-10-20 13:18:52,225,3,1,890.0,1290.0
R-6AB1D08643D2,2024,2024-09-01,2024-09-13,2024-09,12,2,0,1,C-389326B30647,,IT,bd,Booking Engine,,,2023-10-30 22:36:56,307,6,1,1300.0,2990.0
R-809220F6CDA6,2024,2024-07-02,2024-07-09,2024-07,7,2,1,1,C-0976C657A8F6,,IT,bd,Booking Engine,,,2023-10-31 15:42:25,245,4,1,1790.0,2290.0
R-E753DFA50F21,2024,2024-06-23,2024-06-30,2024-06,7,2,2,0,C-9136A3DB3DD9,,IT,bd,Booking Engine,,,2023-11-03 09:59:59,233,2,1,1990.0,2090.0
R-26110CBC2246,2024,2024-09-01,2024-09-08,2024-09,7,2,2,0,C-58FAB6482898,,IT,bd,Booking Engine,,,2023-11-05 14:43:20,301,2,1,1890.0,1990.0
R-EE3D67C0D0F4,2024,2024-08-19,2024-08-31,2024-08,12,2,0,1,C-6ADF71AC8F67,,IT,bd,Booking Engine,,,2023-11-09 13:17:23,284,2,1,4990.0,5990.0
R-8977219779DE,2024,2024-06-08,2024-06-15,2024-06,7,2,2,0,C-F2927B4A0D2C,IT,IT,bd,Booking Engine,,,2023-11-09 19:17:49,212,2,1,1390.0,1490.0
R-0CC8070B492E,2024,2024-08-17,2024-08-24,2024-08,7,2,2,0,C-437D04034FFE,IT,IT,bd,Booking Engine,,,2023-11-17 10:58:03,274,2,1,3090.0,3290.0
R-4573043CC134,2024,2024-07-27,2024-08-03,2024-07,7,2,1,1,C-C8EABF898A37,,IT,bd,Booking Engine,,,2023-11-17 15:38:16,253,2,1,2190.0,2390.0
R-CA2EAF5EA682,2024,2024-08-03,2024-08-10,2024-08,7,2,1,0,C-0E64ED4DF056,,IT,bd,Booking Engine,,,2023-11-17 15:45:43,260,2,1,2790.0,2990.0
R-C64D3C498A8A,2024,2024-08-11,2024-08-18,2024-08,7,2,0,0,C-FC996FE044D0,,IT,bd,Booking Engine,,,2023-11-17 15:53:38,268,1,1,2990.0,2990.0
R-DCD6CC50CD0A,2024,2024-06-29,2024-07-06,2024-06,7,2,0,1,C-95C85A2626CA,IT,IT,bd,Booking Engine,,,2023-11-17 15:56:58,225,1,1,1390.0,1390.0
R-22971DF84DDD,2024,2024-07-14,2024-07-21,2024-07,7,2,2,0,C-1376B08C6CAC,,IT,bd,Booking Engine,,,2023-11-17 15:58:40,240,2,1,2090.0,2190.0
R-C2A160C1D6D6,2024,2024-07-22,2024-07-29,2024-07,7,2,1,1,C-CC9D24E3E86B,,IT,bd,Booking Engine,,,2023-11-17 16:00:37,248,3,1,1990.0,2390.0
R-0B14CBF8C118,2024,2024-07-21,2024-07-28,2024-07,7,2,0,2,C-DE545F26E683,IT,IT,bd,Booking Engine,,,2023-11-17 16:01:29,247,1,1,1990.0,1990.0
R-AE3B901CA194,2024,2024-08-04,2024-08-18,2024-08,14,2,0,0,C-B1B82CD12FB5,,IT,bd,Booking Engine,,,2023-11-17 16:03:13,261,1,1,5290.0,5290.0
R-B796081E94F3,2024,2024-07-01,2024-07-08,2024-07,7,2,3,0,C-C793DA7E6070,IT,IT,bd,Booking Engine,,,2023-11-17 16:08:45,227,1,1,1790.0,1790.0
R-30A3ACEA65E3,2024,2024-06-15,2024-06-29,2024-06,14,2,1,0,C-E18D625505D2,,IT,bd,Booking Engine,,,2023-11-17 16:10:37,211,2,1,2290.0,2390.0
R-BFFC02B212D2,2024,2024-08-04,2024-08-11,2024-08,7,2,0,0,C-083C5611A2E5,,IT,bd,Booking Engine,,,2023-11-17 16:21:27,261,1,1,2690.0,2690.0
R-4D19EAF0FCF6,2024,2024-08-17,2024-08-24,2024-08,7,2,2,0,C-9EABB93C5295,IT,IT,bd,Booking Engine,,,2023-11-17 16:28:47,274,1,1,3190.0,3190.0
R-1AFA89FB048A,2024,2024-08-10,2024-08-24,2024-08,14,2,1,0,C-D7518990300C,IT,IT,bd,Booking Engine,,,2023-11-17 16:29:53,267,2,1,5790.0,6390.0
R-7E4B7D13483A,2024,2024-08-17,2024-08-24,2024-08,7,2,2,0,C-84F2B244FD89,,IT,bd,Booking Engine,,,2023-11-17 16:34:09,274,1,1,3390.0,3390.0
R-47F282734357,2024,2024-08-11,2024-08-25,2024-08,14,4,2,0,C-A3F94525B506,IT,IT,bd,Booking Engine,,,2023-11-17 16:35:42,268,2,1,5790.0,6390.0
R-258B0B7D9CED,2024,2024-08-25,2024-09-02,2024-08,8,4,0,0,C-671453A15FD1,,IT,bd,Booking Engine,,,2023-11-17 16:37:47,282,2,1,2390.0,2490.0
R-AEDE3BCC282C,2024,2024-07-13,2024-07-27,2024-07,14,2,1,0,C-AEF22DA7F388,IT,IT,bd,Booking Engine,,,2023-11-17 16:39:23,239,1,1,3790.0,3790.0
R-172FF4BB78E4,2024,2024-08-03,2024-08-10,2024-08,7,2,2,0,C-E16E3A68D351,,IT,bd,Booking Engine,,,2023-11-17 16:41:09,260,1,1,3290.0,3290.0
R-46E30FBA94D2,2024,2024-06-30,2024-07-07,2024-06,7,2,2,0,C-5F36C94C6DF8,,IT,bd,Booking Engine,,,2023-11-17 16:43:03,226,1,1,1590.0,1590.0
R-6A70E3966699,2024,2024-08-04,2024-08-18,2024-08,14,2,0,1,C-3C808A20A57E,,IT,bd,Booking Engine,,,2023-11-17 16:47:34,261,1,1,5690.0,5690.0
R-44FE54FBEA2A,2024,2024-07-21,2024-07-28,2024-07,7,2,2,0,C-8CB87D98E08F,,IT,bd,Booking Engine,,,2023-11-17 16:51:00,247,1,1,2190.0,2190.0
R-4BC16E240934,2024,2024-07-15,2024-07-22,2024-07,7,2,1,1,C-D9513118D370,IT,IT,bd,Booking Engine,,,2023-11-17 16:56:49,241,1,1,2090.0,2090.0
