stay_year,stay_month_num,room_name,treatment,action_type,action,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,economic_value_eur,economic_value_type,confidence,evidence,why
2026,5,Appartamento Area Piscina,,PRICE_DOWN,Change ROOM ADR -25% (178.87 → 134.15),17.74,31.05,31.74,41.65,5533.87,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (31.74 -> 41.65) under the estimated price-volume response.
2026,5,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -25% (179.57 → 134.68),18.43,32.26,33.1,43.44,4489.31,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (33.10 -> 43.44) under the estimated price-volume response.
2026,5,Camera Superior,,PRICE_DOWN,Change ROOM ADR -25% (158.72 → 119.04),16.94,29.64,26.88,35.28,2083.24,MODELED_REVENUE,MEDIUM,OBSERVED,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (26.88 -> 35.28) under the estimated price-volume response.
2026,5,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -15% (171.24 → 145.56),16.24,19.9,27.82,28.96,995.98,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (27.82 -> 28.96) under the estimated price-volume response.
2026,5,Camera Deluxe,,PRICE_DOWN,Change ROOM ADR -15% (177.35 → 150.75),10.32,12.65,18.31,19.06,117.05,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (18.31 -> 19.06) under the estimated price-volume response.
2026,5,Camera  Standard,Mezza Pensione → Pensione Completa,PROMOTE_UPSELL,Camera  Standard · month 5: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,,,,,115.27,NON_ADDITIVE_TEST_PROXY,MEDIUM,OBSERVED_TREATMENT_MIX,Higher board already represents 75.9% of bookings in this room-month; observed total-ADR premium €76.85.
2026,5,OTA Camera Standard,,PRICE_DOWN,Change ROOM ADR -15% (141.42 → 120.21),4.3,5.27,6.08,6.33,23.33,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (6.08 -> 6.33) under the estimated price-volume response.
2026,5,Villino 2Ten,,PRICE_DOWN,Change ROOM ADR -15% (112.20 → 95.37),16.13,19.76,18.1,18.84,23.14,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (18.10 -> 18.84) under the estimated price-volume response.
2026,5,Villino Double,,PRICE_DOWN,Change ROOM ADR -15% (110.38 → 93.82),16.13,19.76,17.8,18.54,22.77,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (17.80 -> 18.54) under the estimated price-volume response.
2026,5,Suite Familiare,,PRICE_DOWN,Change ROOM ADR -15% (140.00 → 119.00),9.68,11.85,13.55,14.11,17.32,MODELED_REVENUE,LOW,PRIOR,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (13.55 -> 14.11) under the estimated price-volume response.
