arrival_month,final_confirmed_bookings,booked_by_7d_pct,booked_by_14d_pct,booked_by_30d_pct,booked_by_60d_pct,booked_by_90d_pct,booked_by_180d_pct
2024-05,6,66.67,50.0,33.33,33.33,16.67,0.0
2024-06,355,91.83,84.79,75.49,65.07,26.48,2.82
2024-07,296,89.53,73.65,68.92,61.82,48.99,2.36
2024-08,312,80.77,70.51,61.86,51.28,48.72,2.56
2024-09,150,69.33,57.33,50.0,36.0,29.33,4.67
2025-05,60,96.67,81.67,25.0,1.67,1.67,0.0
2025-06,330,76.67,59.39,40.91,21.52,15.45,4.55
2025-07,372,80.38,66.4,53.23,41.13,30.38,2.15
2025-08,363,83.75,73.28,61.71,49.86,40.22,2.2
2025-09,177,44.07,27.12,12.99,6.78,2.26,0.56
2025-11,18,0.0,0.0,0.0,0.0,0.0,0.0
2026-05,147,78.23,66.67,29.25,2.04,1.36,0.0
2026-06,277,79.06,68.95,46.93,26.71,17.69,7.94
2026-07,257,83.66,78.6,68.48,52.92,33.85,20.23
