stay_year,stay_month_num,season,booking_window,room_name,quoted_requests,converted_requests,same_room_converted,conversion_pct
2024,2,OTHER,15-30,Camera  Standard,1,0,0,0.0
2024,5,SHOULDER,0-7,Appartamento Area Giardino,3,0,0,0.0
2024,5,SHOULDER,0-7,Appartamento Area Piscina,1,0,0,0.0
2024,5,SHOULDER,0-7,Camera  Standard,2,0,0,0.0
2024,5,SHOULDER,0-7,Camera Superior,2,0,0,0.0
2024,5,SHOULDER,15-30,Appartamento Area Giardino,3,0,0,0.0
2024,5,SHOULDER,15-30,Appartamento Area Piscina,1,0,0,0.0
2024,5,SHOULDER,15-30,Camera  Standard,4,0,0,0.0
2024,5,SHOULDER,15-30,Camera Deluxe,1,0,0,0.0
2024,5,SHOULDER,15-30,Camera Superior,1,0,0,0.0
2024,5,SHOULDER,31-60,Camera  Standard,1,0,0,0.0
2024,5,SHOULDER,61-90,Appartamento Area Giardino,1,0,0,0.0
2024,5,SHOULDER,61-90,Appartamento Area Piscina,1,0,0,0.0
2024,5,SHOULDER,61-90,Camera  Standard,1,1,1,100.0
2024,5,SHOULDER,61-90,Camera Deluxe,1,0,0,0.0
2024,5,SHOULDER,8-14,Appartamento Area Giardino,1,0,0,0.0
2024,5,SHOULDER,8-14,Camera  Standard,3,0,0,0.0
2024,5,SHOULDER,8-14,Camera Deluxe,4,0,0,0.0
2024,5,SHOULDER,8-14,Camera Superior,3,1,1,33.333333333333336
2024,5,SHOULDER,8-14,Villino Double,1,0,0,0.0
2024,5,SHOULDER,91-180,Appartamento Area Giardino,1,0,0,0.0
2024,5,SHOULDER,91-180,Camera  Standard,4,0,0,0.0
2024,5,SHOULDER,91-180,Camera Deluxe,1,0,0,0.0
2024,5,SHOULDER,91-180,Suite Familiare Vista Piscina,1,0,0,0.0
2024,5,SHOULDER,91-180,Villino Double,1,0,0,0.0
2024,6,SHOULDER,0-7,Appartamento Area Giardino,14,2,2,14.285714285714286
2024,6,SHOULDER,0-7,Appartamento Area Piscina,42,2,2,4.761904761904762
2024,6,SHOULDER,0-7,Camera  Standard,16,1,1,6.25
2024,6,SHOULDER,0-7,Camera Deluxe,7,0,0,0.0
2024,6,SHOULDER,0-7,Camera Superior,14,0,0,0.0
2024,6,SHOULDER,0-7,Villino 2Ten,1,1,0,0.0
2024,6,SHOULDER,15-30,Appartamento Area Giardino,87,4,0,0.0
2024,6,SHOULDER,15-30,Appartamento Area Piscina,105,2,2,1.9047619047619047
2024,6,SHOULDER,15-30,Camera  Standard,33,1,1,3.0303030303030303
2024,6,SHOULDER,15-30,Camera Deluxe,25,0,0,0.0
2024,6,SHOULDER,15-30,Camera Superior,28,1,1,3.5714285714285716
2024,6,SHOULDER,15-30,Suite Familiare,3,0,0,0.0
2024,6,SHOULDER,15-30,Suite Familiare Vista Piscina,1,0,0,0.0
2024,6,SHOULDER,15-30,Villino 2Ten,28,0,0,0.0
2024,6,SHOULDER,181+,Appartamento Area Giardino,17,4,4,23.529411764705884
2024,6,SHOULDER,181+,Appartamento Area Piscina,7,1,1,14.285714285714286
2024,6,SHOULDER,181+,Camera  Standard,25,1,0,0.0
2024,6,SHOULDER,181+,Camera Deluxe,11,3,3,27.272727272727273
2024,6,SHOULDER,181+,Camera Superior,13,1,0,0.0
2024,6,SHOULDER,181+,Villino 2Ten,2,0,0,0.0
2024,6,SHOULDER,31-60,Appartamento Area Giardino,58,5,3,5.172413793103448
2024,6,SHOULDER,31-60,Appartamento Area Piscina,58,5,3,5.172413793103448
2024,6,SHOULDER,31-60,Camera  Standard,25,0,0,0.0
2024,6,SHOULDER,31-60,Camera Deluxe,11,0,0,0.0
2024,6,SHOULDER,31-60,Camera Superior,14,1,0,0.0
