arrival_month,requests,quoted_requests,converted_requests,quote_rate_pct,conversion_pct,avg_requested_lead_time
2023-12,2,0,0,0.0,0.0,124.0
2024-01,1,0,0,0.0,0.0,32.0
2024-02,8,1,0,12.5,0.0,39.75
2024-03,1,0,0,0.0,0.0,77.0
2024-05,47,40,2,85.11,4.26,44.3
2024-06,1260,1140,70,90.26,5.54,63.46
2024-07,1761,1667,91,94.23,5.14,69.66
2024-08,2581,2432,82,94.12,3.17,78.23
2024-09,1123,1072,36,95.46,3.21,66.87
2025-03,2,0,0,0.0,0.0,6.5
2025-04,23,0,0,0.0,0.0,13.48
2025-05,167,125,16,73.96,9.47,25.97
2025-06,1720,1633,105,94.5,6.08,46.22
2025-07,2679,2523,97,93.97,3.61,61.74
2025-08,4487,3447,113,76.69,2.51,67.99
2025-09,787,651,72,81.89,9.06,40.81
2025-10,12,0,0,0.0,0.0,38.25
2025-11,8,0,0,0.0,0.0,9.88
2025-12,19,0,0,0.0,0.0,32.32
2026-01,13,0,0,0.0,0.0,30.77
2026-02,12,0,0,0.0,0.0,12.58
2026-03,8,0,0,0.0,0.0,12.38
2026-04,45,0,0,0.0,0.0,28.84
2026-05,264,137,11,51.5,4.14,44.61
2026-06,1979,1390,68,69.92,3.42,76.54
2026-07,4030,3118,69,77.29,1.71,78.99
2026-08,5676,4715,55,82.97,0.97,101.08
2026-09,475,419,11,88.03,2.31,97.49
2026-10,5,0,0,0.0,0.0,158.0
