stay_year,stay_month,season_band,booking_window_band,requests,quoted_requests,converted_requests,quote_rate_pct,conversion_pct,avg_requested_lead_time
2023,2023-12,LOW,91-180,2,0,0,0.0,0.0,124.0
2024,2024-01,LOW,31-60,1,0,0,0.0,0.0,32.0
2024,2024-02,LOW,8-14,1,0,0,0.0,0.0,11.0
2024,2024-02,LOW,15-30,2,1,0,50.0,0.0,27.5
2024,2024-02,LOW,31-60,3,0,0,0.0,0.0,40.67
2024,2024-02,LOW,61-90,2,0,0,0.0,0.0,65.0
2024,2024-03,LOW,61-90,1,0,0,0.0,0.0,77.0
2024,2024-05,LOW,0-7,9,8,0,88.89,0.0,3.44
2024,2024-05,LOW,8-14,12,12,1,100.0,8.33,10.08
2024,2024-05,LOW,15-30,10,9,0,90.0,0.0,21.9
2024,2024-05,LOW,31-60,1,1,0,100.0,0.0,37.0
2024,2024-05,LOW,61-90,4,4,1,100.0,25.0,75.5
2024,2024-05,LOW,91-180,11,6,0,54.55,0.0,124.73
2024,2024-06,SHOULDER,0-7,109,89,6,81.65,5.5,4.84
2024,2024-06,SHOULDER,8-14,139,104,6,74.82,4.32,10.85
2024,2024-06,SHOULDER,15-30,321,292,5,90.97,1.56,21.54
2024,2024-06,SHOULDER,31-60,182,174,9,95.63,4.92,42.25
2024,2024-06,SHOULDER,61-90,134,123,14,91.85,10.37,75.75
2024,2024-06,SHOULDER,91-180,310,295,23,95.18,7.4,126.12
2024,2024-06,SHOULDER,181+,65,60,7,92.31,10.77,215.71
2024,2024-07,PEAK,0-7,121,99,5,81.82,4.13,4.49
2024,2024-07,PEAK,8-14,254,236,21,92.94,8.24,10.88
2024,2024-07,PEAK,15-30,358,334,10,93.3,2.79,21.23
2024,2024-07,PEAK,31-60,304,299,10,98.36,3.28,43.04
2024,2024-07,PEAK,61-90,169,162,6,95.86,3.55,75.0
2024,2024-07,PEAK,91-180,430,416,32,96.79,7.34,132.28
2024,2024-07,PEAK,181+,125,113,7,90.4,5.6,230.69
2024,2024-08,PEAK,0-7,191,154,19,80.83,9.84,5.01
2024,2024-08,PEAK,8-14,212,186,10,87.74,4.72,10.81
2024,2024-08,PEAK,15-30,435,402,12,92.41,2.76,22.24
2024,2024-08,PEAK,31-60,518,496,17,95.75,3.28,43.5
2024,2024-08,PEAK,61-90,349,339,1,97.13,0.29,74.67
2024,2024-08,PEAK,91-180,625,609,18,97.44,2.88,132.27
2024,2024-08,PEAK,181+,251,243,5,96.81,1.99,230.34
2024,2024-09,SHOULDER,0-7,48,38,7,79.17,14.58,4.42
2024,2024-09,SHOULDER,8-14,137,127,4,92.7,2.92,10.62
2024,2024-09,SHOULDER,15-30,199,191,7,95.98,3.52,21.32
2024,2024-09,SHOULDER,31-60,170,162,7,95.29,4.12,44.29
2024,2024-09,SHOULDER,61-90,205,198,3,96.59,1.46,75.89
2024,2024-09,SHOULDER,91-180,325,320,6,98.46,1.85,113.34
2024,2024-09,SHOULDER,181+,39,36,2,92.31,5.13,237.36
2025,2025-03,LOW,0-7,2,0,0,0.0,0.0,6.5
2025,2025-04,LOW,0-7,4,0,0,0.0,0.0,3.0
2025,2025-04,LOW,8-14,9,0,0,0.0,0.0,11.11
2025,2025-04,LOW,15-30,9,0,0,0.0,0.0,18.56
2025,2025-04,LOW,31-60,1,0,0,0.0,0.0,31.0
2025,2025-05,LOW,0-7,19,2,0,10.53,0.0,5.21
2025,2025-05,LOW,8-14,20,8,0,40.0,0.0,10.05
2025,2025-05,LOW,15-30,90,80,12,89.01,13.19,21.44
2025,2025-05,LOW,31-60,26,22,3,85.19,11.11,44.11
2025,2025-05,LOW,61-90,10,9,1,90.0,10.0,67.9
2025,2025-05,LOW,91-180,2,2,0,100.0,0.0,134.0
2025,2025-06,SHOULDER,0-7,158,118,32,74.53,19.88,4.22
2025,2025-06,SHOULDER,8-14,172,147,26,85.71,14.86,11.01
2025,2025-06,SHOULDER,15-30,329,319,15,96.98,4.53,22.83
2025,2025-06,SHOULDER,31-60,563,548,16,97.34,2.84,43.0
2025,2025-06,SHOULDER,61-90,293,291,10,99.32,3.41,76.4
2025,2025-06,SHOULDER,91-180,203,201,6,99.01,2.96,111.83
2025,2025-06,SHOULDER,181+,2,2,0,100.0,0.0,204.5
2025,2025-07,PEAK,0-7,194,151,14,77.84,7.22,4.42
2025,2025-07,PEAK,8-14,252,210,16,83.33,6.35,10.92
2025,2025-07,PEAK,15-30,465,433,24,93.13,5.15,22.42
2025,2025-07,PEAK,31-60,583,557,19,95.06,3.24,44.59
2025,2025-07,PEAK,61-90,385,379,6,98.44,1.56,75.85
2025,2025-07,PEAK,91-180,749,745,16,99.47,2.13,114.9
2025,2025-07,PEAK,181+,51,45,2,88.24,3.92,199.39
2025,2025-08,PEAK,0-7,384,165,23,42.97,5.99,4.17
2025,2025-08,PEAK,8-14,340,177,16,52.06,4.71,10.81
2025,2025-08,PEAK,15-30,732,381,18,52.05,2.46,22.13
2025,2025-08,PEAK,31-60,898,648,17,72.06,1.88,44.67
2025,2025-08,PEAK,61-90,706,666,13,94.33,1.84,73.34
2025,2025-08,PEAK,91-180,1339,1324,25,98.73,1.86,129.3
2025,2025-08,PEAK,181+,88,82,1,93.18,1.14,209.18
2025,2025-09,SHOULDER,0-7,182,96,36,53.48,19.25,4.12
2025,2025-09,SHOULDER,8-14,133,108,14,81.2,10.53,10.66
2025,2025-09,SHOULDER,15-30,131,116,5,88.55,3.82,21.74
2025,2025-09,SHOULDER,31-60,146,141,11,96.64,7.38,43.02
2025,2025-09,SHOULDER,61-90,84,80,5,95.24,5.95,74.58
2025,2025-09,SHOULDER,91-180,108,102,1,94.44,0.93,130.27
2025,2025-09,SHOULDER,181+,3,1,0,33.33,0.0,220.33
2025,2025-10,LOW,0-7,1,0,0,0.0,0.0,5.0
2025,2025-10,LOW,8-14,1,0,0,0.0,0.0,10.0
2025,2025-10,LOW,15-30,3,0,0,0.0,0.0,20.67
2025,2025-10,LOW,31-60,4,0,0,0.0,0.0,36.5
2025,2025-10,LOW,61-90,3,0,0,0.0,0.0,78.67
