stay_year,stay_month,season_band,booking_window_band,room_id,room_name,quoted_requests,overall_converted_requests,same_room_converted_requests,avg_quote_amount,overall_conversion_pct,same_room_conversion_pct
2024,2024-02,LOW,15-30,2761,Camera  Standard,1,0,0,420.0,0.0,0.0
2024,2024-05,LOW,0-7,2761,Camera  Standard,2,0,0,325.0,0.0,0.0
2024,2024-05,LOW,0-7,2762,Camera Superior,2,0,0,600.0,0.0,0.0
2024,2024-05,LOW,0-7,2764,Appartamento Area Giardino,3,0,0,518.33,0.0,0.0
2024,2024-05,LOW,0-7,2765,Appartamento Area Piscina,1,0,0,670.0,0.0,0.0
2024,2024-05,LOW,8-14,2761,Camera  Standard,3,0,0,296.67,0.0,0.0
2024,2024-05,LOW,8-14,2762,Camera Superior,3,1,1,576.67,33.33,33.33
2024,2024-05,LOW,8-14,2763,Camera Deluxe,4,0,0,486.25,0.0,0.0
2024,2024-05,LOW,8-14,2764,Appartamento Area Giardino,1,0,0,990.0,0.0,0.0
2024,2024-05,LOW,8-14,5376,Villino Double,1,0,0,900.0,0.0,0.0
2024,2024-05,LOW,15-30,2761,Camera  Standard,4,0,0,430.0,0.0,0.0
2024,2024-05,LOW,15-30,2762,Camera Superior,1,0,0,1090.0,0.0,0.0
2024,2024-05,LOW,15-30,2763,Camera Deluxe,1,0,0,690.0,0.0,0.0
2024,2024-05,LOW,15-30,2764,Appartamento Area Giardino,3,0,0,733.33,0.0,0.0
2024,2024-05,LOW,15-30,2765,Appartamento Area Piscina,1,0,0,590.0,0.0,0.0
2024,2024-05,LOW,31-60,2761,Camera  Standard,1,0,0,440.0,0.0,0.0
2024,2024-05,LOW,61-90,2761,Camera  Standard,1,1,1,317.0,100.0,100.0
2024,2024-05,LOW,61-90,2763,Camera Deluxe,1,0,0,1590.0,0.0,0.0
2024,2024-05,LOW,61-90,2764,Appartamento Area Giardino,1,0,0,550.0,0.0,0.0
2024,2024-05,LOW,61-90,2765,Appartamento Area Piscina,1,0,0,420.0,0.0,0.0
2024,2024-05,LOW,91-180,2761,Camera  Standard,4,0,0,1415.0,0.0,0.0
2024,2024-05,LOW,91-180,2763,Camera Deluxe,1,0,0,790.0,0.0,0.0
2024,2024-05,LOW,91-180,2764,Appartamento Area Giardino,1,0,0,1390.0,0.0,0.0
2024,2024-05,LOW,91-180,2767,Suite Familiare Vista Piscina,1,0,0,1990.0,0.0,0.0
2024,2024-05,LOW,91-180,5376,Villino Double,1,0,0,1490.0,0.0,0.0
2024,2024-06,SHOULDER,0-7,2761,Camera  Standard,16,1,1,1016.25,6.25,6.25
2024,2024-06,SHOULDER,0-7,2762,Camera Superior,14,0,0,828.57,0.0,0.0
2024,2024-06,SHOULDER,0-7,2763,Camera Deluxe,7,0,0,943.21,0.0,0.0
2024,2024-06,SHOULDER,0-7,2764,Appartamento Area Giardino,14,2,2,1159.29,14.29,14.29
2024,2024-06,SHOULDER,0-7,2765,Appartamento Area Piscina,42,2,2,1493.42,4.76,4.76
2024,2024-06,SHOULDER,0-7,5375,Villino 2Ten,1,1,0,1090.0,100.0,0.0
2024,2024-06,SHOULDER,8-14,2761,Camera  Standard,25,3,3,1221.9,12.0,12.0
2024,2024-06,SHOULDER,8-14,2762,Camera Superior,12,0,0,1247.08,0.0,0.0
2024,2024-06,SHOULDER,8-14,2763,Camera Deluxe,8,1,1,1797.5,12.5,12.5
2024,2024-06,SHOULDER,8-14,2764,Appartamento Area Giardino,30,2,2,1560.0,6.67,6.67
2024,2024-06,SHOULDER,8-14,2765,Appartamento Area Piscina,32,1,0,1917.22,3.12,0.0
2024,2024-06,SHOULDER,8-14,2767,Suite Familiare Vista Piscina,1,0,0,3590.0,0.0,0.0
2024,2024-06,SHOULDER,8-14,3231,Suite Familiare,1,0,0,1890.0,0.0,0.0
2024,2024-06,SHOULDER,8-14,5375,Villino 2Ten,3,0,0,1556.67,0.0,0.0
2024,2024-06,SHOULDER,15-30,2761,Camera  Standard,33,1,1,1532.42,3.03,3.03
