stay_year,stay_month,season_band,booking_window_band,arrangement_code,arrangement_name,quoted_requests,overall_converted_requests,same_treatment_converted_requests,avg_quote_amount,overall_conversion_pct,same_treatment_conversion_pct,comparability_group
2024,2024-02,LOW,15-30,BB,Bed & Breakfast,1,0,0,420.0,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,0-7,HB,Mezza Pensione,8,0,0,509.38,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,8-14,FB,Pensione Completa,1,1,1,690.0,100.0,100.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,8-14,HB,Mezza Pensione,11,0,0,524.09,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,15-30,HB,Mezza Pensione,9,0,0,652.22,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,31-60,HB,Mezza Pensione,1,0,0,440.0,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,61-90,HB,Mezza Pensione,4,1,1,719.25,25.0,25.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,91-180,FB,Pensione Completa,2,0,0,1190.0,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-05,LOW,91-180,HB,Mezza Pensione,4,0,0,1590.0,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,0-7,FB,Pensione Completa,38,2,2,1373.78,5.26,5.26,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,0-7,HB,Mezza Pensione,68,3,3,1120.66,4.41,4.41,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,8-14,FB,Pensione Completa,58,1,1,1616.06,1.72,1.72,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,8-14,HB,Mezza Pensione,65,6,5,1532.45,9.23,7.69,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,15-30,FB,Pensione Completa,149,2,2,2030.2,1.34,1.34,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,15-30,HB,Mezza Pensione,204,2,2,1680.69,0.98,0.98,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,31-60,FB,Pensione Completa,83,3,3,2246.57,3.61,3.61,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,31-60,HB,Mezza Pensione,106,6,5,2005.74,5.66,4.72,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,61-90,FB,Pensione Completa,72,8,8,1814.48,11.11,11.11,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,61-90,HB,Mezza Pensione,58,5,4,1809.84,8.62,6.9,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,91-180,FB,Pensione Completa,162,12,10,1682.39,7.41,6.17,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,91-180,HB,Mezza Pensione,148,12,11,1620.74,8.11,7.43,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,181+,FB,Pensione Completa,32,6,6,1862.29,18.75,18.75,COMPARABLE_COMMERCIAL
2024,2024-06,SHOULDER,181+,HB,Mezza Pensione,32,2,1,1622.75,6.25,3.12,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,0-7,FB,Pensione Completa,51,3,3,2127.55,5.88,5.88,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,0-7,HB,Mezza Pensione,60,1,1,2074.77,1.67,1.67,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,8-14,FB,Pensione Completa,127,11,11,2527.54,8.66,8.66,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,8-14,HB,Mezza Pensione,129,11,7,2251.39,8.53,5.43,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,15-30,FB,Pensione Completa,185,8,8,2760.33,4.32,4.32,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,15-30,HB,Mezza Pensione,202,4,2,2494.49,1.98,0.99,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,31-60,FB,Pensione Completa,188,5,5,3019.0,2.66,2.66,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,31-60,HB,Mezza Pensione,142,4,3,2848.51,2.82,2.11,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,61-90,FB,Pensione Completa,113,5,5,2877.76,4.42,4.42,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,61-90,HB,Mezza Pensione,66,1,1,2740.45,1.52,1.52,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,91-180,BB,Bed & Breakfast,2,2,2,2125.0,100.0,100.0,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,91-180,FB,Pensione Completa,244,17,17,2478.18,6.97,6.97,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,91-180,HB,Mezza Pensione,193,11,6,2605.81,5.7,3.11,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,181+,FB,Pensione Completa,77,7,7,2493.92,9.09,9.09,COMPARABLE_COMMERCIAL
2024,2024-07,PEAK,181+,HB,Mezza Pensione,40,0,0,2771.66,0.0,0.0,COMPARABLE_COMMERCIAL
2024,2024-08,PEAK,0-7,FB,Pensione Completa,78,7,7,2240.46,8.97,8.97,COMPARABLE_COMMERCIAL
2024,2024-08,PEAK,0-7,HB,Mezza Pensione,86,10,9,2190.36,11.63,10.47,COMPARABLE_COMMERCIAL
2024,2024-08,PEAK,8-14,FB,Pensione Completa,97,10,10,2822.42,10.31,10.31,COMPARABLE_COMMERCIAL
2024,2024-08,PEAK,8-14,HB,Mezza Pensione,108,2,0,2715.32,1.85,0.0,COMPARABLE_COMMERCIAL
2024,2024-08,PEAK,15-30,BB,Bed & Breakfast,1,0,0,2190.0,0.0,0.0,COMPARABLE_COMMERCIAL
