stay_year,stay_month,season_band,room_id,room_name,confirmed_bookings,room_nights,revenue,avg_adr,avg_los,avg_booking_window,total_bookings,canceled_bookings,cancellation_rate_pct,occupied_room_nights,available_room_nights,occupancy_pct,revpar,reliability
2024,2024-05,LOW,2761,Camera  Standard,4,8,994.0,124.25,2.0,52.75,4,0.0,0.0,4,14,28.57,35.5,INSUFFICIENT
2024,2024-05,LOW,2762,Camera Superior,1,2,690.0,345.0,2.0,11.0,2,1.0,50.0,1,8,12.5,43.12,INSUFFICIENT
2024,2024-05,LOW,2767,Suite Familiare Vista Piscina,1,2,400.0,200.0,2.0,0.0,1,0.0,0.0,1,1,100.0,200.0,INSUFFICIENT
2024,2024-06,SHOULDER,2761,Camera  Standard,80,502,53334.16,100.38,6.28,73.91,92,12.0,13.04,449,420,106.9,107.31,MEDIUM
2024,2024-06,SHOULDER,2762,Camera Superior,34,193,27700.4,135.17,5.68,55.12,48,12.0,25.0,165,240,68.75,92.93,MEDIUM
2024,2024-06,SHOULDER,2763,Camera Deluxe,26,165,32024.5,175.5,6.35,93.92,34,6.0,17.65,134,150,89.33,156.78,LOW
2024,2024-06,SHOULDER,2764,Appartamento Area Giardino,120,878,126235.9,140.12,7.32,79.08,140,17.0,12.14,660,840,78.57,110.09,HIGH
2024,2024-06,SHOULDER,2765,Appartamento Area Piscina,81,474,80777.0,158.08,5.85,63.43,98,17.0,17.35,418,540,77.41,122.37,MEDIUM
2024,2024-06,SHOULDER,2767,Suite Familiare Vista Piscina,3,20,4714.5,176.94,6.67,85.0,3,0.0,0.0,15,30,50.0,88.47,INSUFFICIENT
2024,2024-06,SHOULDER,3231,Suite Familiare,4,28,7780.0,214.57,7.0,54.5,7,3.0,42.86,16,30,53.33,114.44,INSUFFICIENT
2024,2024-06,SHOULDER,5375,Villino 2Ten,4,21,2280.0,113.43,5.25,51.0,6,1.0,16.67,21,30,70.0,79.4,INSUFFICIENT
2024,2024-06,SHOULDER,5376,Villino Double,3,21,5986.5,285.07,7.0,85.0,3,0.0,0.0,15,30,50.0,142.54,INSUFFICIENT
2024,2024-07,PEAK,2761,Camera  Standard,53,331,45595.5,132.96,6.25,68.45,69,16.0,23.19,354,434,81.57,108.45,MEDIUM
2024,2024-07,PEAK,2762,Camera Superior,41,245,67205.05,269.03,5.98,47.71,51,8.0,15.69,261,248,105.24,283.13,MEDIUM
