stay_year,stay_month,season_band,room_id,room_name,booking_window_band,confirmed_bookings,room_nights,revenue,avg_adr,avg_los,avg_booking_window,reliability
2024,2024-05,LOW,2761,Camera  Standard,0-7,1,2,300.0,150.0,2.0,4.0,INSUFFICIENT
2024,2024-05,LOW,2761,Camera  Standard,15-30,1,2,0.0,0.0,2.0,19.0,INSUFFICIENT
2024,2024-05,LOW,2761,Camera  Standard,61-90,1,2,274.0,137.0,2.0,65.0,INSUFFICIENT
2024,2024-05,LOW,2761,Camera  Standard,91-180,1,2,420.0,210.0,2.0,123.0,INSUFFICIENT
2024,2024-05,LOW,2762,Camera Superior,8-14,1,2,690.0,345.0,2.0,11.0,INSUFFICIENT
2024,2024-05,LOW,2767,Suite Familiare Vista Piscina,0-7,1,2,400.0,200.0,2.0,0.0,INSUFFICIENT
2024,2024-06,SHOULDER,2761,Camera  Standard,0-7,4,18,2389.5,121.72,4.5,2.5,INSUFFICIENT
2024,2024-06,SHOULDER,2761,Camera  Standard,8-14,6,31,3210.1,88.34,5.17,10.5,INSUFFICIENT
2024,2024-06,SHOULDER,2761,Camera  Standard,15-30,3,13,1390.0,66.19,4.33,17.33,INSUFFICIENT
2024,2024-06,SHOULDER,2761,Camera  Standard,31-60,10,44,2059.46,38.97,4.4,45.1,LOW
2024,2024-06,SHOULDER,2761,Camera  Standard,61-90,36,254,22666.1,89.74,7.06,77.28,MEDIUM
2024,2024-06,SHOULDER,2761,Camera  Standard,91-180,20,135,20529.0,151.94,6.75,117.15,LOW
2024,2024-06,SHOULDER,2761,Camera  Standard,181+,1,7,1090.0,155.71,7.0,212.0,INSUFFICIENT
2024,2024-06,SHOULDER,2762,Camera Superior,0-7,6,15,757.0,109.5,2.5,1.5,INSUFFICIENT
2024,2024-06,SHOULDER,2762,Camera Superior,8-14,6,16,2790.0,114.05,2.67,10.5,INSUFFICIENT
2024,2024-06,SHOULDER,2762,Camera Superior,15-30,4,25,3497.5,150.36,6.25,21.25,INSUFFICIENT
2024,2024-06,SHOULDER,2762,Camera Superior,31-60,2,14,1504.4,107.45,7.0,41.5,INSUFFICIENT
