stay_year,stay_month,season_band,arrangement_code,arrangement_name,confirmed_bookings,room_nights,revenue,avg_adr,avg_los,avg_booking_window,revenue_per_booking,total_bookings,canceled_bookings,cancellation_rate_pct,comparability_group,reliability
2024,2024-05,LOW,BB,Bed & Breakfast,1,2,420.0,210.0,2.0,123.0,420.0,2,1.0,50.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,FB,Pensione Completa,2,4,1090.0,272.5,2.0,5.5,545.0,2,0.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,HB,Mezza Pensione,3,6,574.0,95.67,2.0,29.33,191.33,5,1.0,20.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,BB,Bed & Breakfast,3,15,1437.46,100.3,5.0,64.67,479.15,7,4.0,57.14,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,FB,Pensione Completa,194,1242,187920.8,137.82,6.4,72.61,968.66,234,33.0,14.1,COMPARABLE_COMMERCIAL,HIGH
2024,2024-06,SHOULDER,HB,Mezza Pensione,143,922,148882.7,155.63,6.45,73.92,1041.14,175,31.0,17.71,COMPARABLE_COMMERCIAL,HIGH
2024,2024-06,SHOULDER,NB,No Board,1,1,0.0,0.0,1.0,36.0,0.0,1,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-06,SHOULDER,RS,Formula Residence,8,77,2592.0,26.58,9.62,77.0,324.0,8,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-06,SHOULDER,SP,Solo Pernottamento,6,45,0.0,0.0,7.5,47.67,0.0,6,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-07,PEAK,BB,Bed & Breakfast,4,31,4250.0,151.78,7.75,114.5,1062.5,6,2.0,33.33,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-07,PEAK,FB,Pensione Completa,188,1286,294901.5,216.11,6.84,72.69,1568.62,233,43.0,18.45,COMPARABLE_COMMERCIAL,HIGH
2024,2024-07,PEAK,HB,Mezza Pensione,69,502,126309.05,260.75,7.28,68.77,1830.57,79,8.0,10.13,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-07,PEAK,HBL,Mezza Pensione Pranzo,6,70,2511.5,59.8,11.67,87.67,418.58,6,0.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-07,PEAK,RS,Formula Residence,22,196,0.0,0.0,8.91,104.55,0.0,25,3.0,12.0,SPECIAL_OR_NON_COMPARABLE,LOW
2024,2024-07,PEAK,SP,Solo Pernottamento,7,49,700.0,14.29,7.0,96.71,100.0,7,0.0,0.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-08,PEAK,BB,Bed & Breakfast,5,35,2190.0,62.57,7.0,101.8,438.0,5,0.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-08,PEAK,FB,Pensione Completa,189,1341,309949.0,214.33,7.1,65.63,1639.94,253,62.0,24.51,COMPARABLE_COMMERCIAL,HIGH
2024,2024-08,PEAK,HB,Mezza Pensione,74,536,187228.5,343.12,7.24,64.74,2530.11,90,13.0,14.44,COMPARABLE_COMMERCIAL,MEDIUM
