stay_year,stay_month,season_band,arrangement_code,arrangement_name,booking_window_band,confirmed_bookings,revenue,avg_adr,avg_los,avg_booking_window,comparability_group,reliability
2024,2024-05,LOW,BB,Bed & Breakfast,91-180,1,420.0,210.0,2.0,123.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,FB,Pensione Completa,0-7,1,400.0,200.0,2.0,0.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,FB,Pensione Completa,8-14,1,690.0,345.0,2.0,11.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,HB,Mezza Pensione,0-7,1,300.0,150.0,2.0,4.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,HB,Mezza Pensione,15-30,1,0.0,0.0,2.0,19.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-05,LOW,HB,Mezza Pensione,61-90,1,274.0,137.0,2.0,65.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,BB,Bed & Breakfast,31-60,1,111.46,111.46,1.0,42.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,BB,Bed & Breakfast,61-90,2,1326.0,94.72,7.0,76.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,FB,Pensione Completa,0-7,21,13694.0,119.12,4.95,2.62,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,FB,Pensione Completa,8-14,14,4732.0,87.83,2.86,10.36,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,FB,Pensione Completa,15-30,25,14849.5,110.68,5.0,20.56,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,FB,Pensione Completa,31-60,22,14573.9,108.76,5.77,46.68,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,FB,Pensione Completa,61-90,50,41845.5,111.82,7.2,77.54,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-06,SHOULDER,FB,Pensione Completa,91-180,54,83828.4,194.58,7.78,125.74,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-06,SHOULDER,FB,Pensione Completa,181+,8,14397.5,218.58,8.25,209.75,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,HB,Mezza Pensione,0-7,8,5996.0,127.73,6.0,3.88,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,HB,Mezza Pensione,8-14,11,12757.1,183.91,5.64,11.82,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,HB,Mezza Pensione,15-30,7,11117.5,182.74,7.86,21.86,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,HB,Mezza Pensione,31-60,13,22267.0,239.66,7.69,45.46,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,HB,Mezza Pensione,61-90,73,47520.6,110.41,5.88,76.36,COMPARABLE_COMMERCIAL,MEDIUM
2024,2024-06,SHOULDER,HB,Mezza Pensione,91-180,29,45851.0,217.4,7.34,126.41,COMPARABLE_COMMERCIAL,LOW
2024,2024-06,SHOULDER,HB,Mezza Pensione,181+,2,3373.5,225.48,7.5,213.0,COMPARABLE_COMMERCIAL,INSUFFICIENT
2024,2024-06,SHOULDER,NB,No Board,31-60,1,0.0,0.0,1.0,36.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-06,SHOULDER,RS,Formula Residence,61-90,8,2592.0,26.58,9.62,77.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-06,SHOULDER,SP,Solo Pernottamento,0-7,2,0.0,0.0,5.0,1.5,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
2024,2024-06,SHOULDER,SP,Solo Pernottamento,31-60,1,0.0,0.0,7.0,58.0,SPECIAL_OR_NON_COMPARABLE,INSUFFICIENT
