arrival_month,bookings_total,confirmed_bookings,canceled_bookings,pending_bookings,confirmed_revenue,avg_adr,avg_booking_window,cancellation_rate_pct
2024-05,9,6,2,1,2084.0,173.67,37.0,22.22
2024-06,431,355,68,8,340832.96,139.46,72.65,15.78
2024-07,360,296,60,4,428672.05,201.64,75.58,16.67
2024-08,392,312,75,5,499571.5,212.31,74.25,19.13
2024-09,190,151,35,4,139958.76,151.46,59.66,18.42
2024-11,2,0,2,0,0.0,,,100.0
2025-04,1,0,1,0,0.0,,,100.0
2025-05,73,60,13,0,23234.25,166.19,25.03,17.81
2025-06,422,330,92,0,254299.26,157.01,40.51,21.8
2025-07,508,372,136,0,423035.85,184.86,58.31,26.77
2025-08,505,363,142,0,494961.85,205.14,75.74,28.12
2025-09,228,177,51,0,104936.27,161.66,15.2,22.37
2025-11,18,18,0,0,0.0,0.0,4.0,0.0
2026-05,166,147,19,0,68773.78,166.47,22.86,11.45
2026-06,335,277,58,0,271858.99,166.45,49.14,17.31
2026-07,313,260,53,0,380189.19,228.66,87.94,16.93
