room_name,decision,confidence,stay_dates,remaining_rooms,expected_remaining_demand_rooms,expected_incremental_revenue_eur,avg_pace_vs_history_pct,avg_saturation_pct,avg_suggested_uplift_pct
Camera Superior,TEST_INCREASE,HIGH,4,5,5.0,127.47,18.333333333333336,84.375,8.639422516514731
Camera Superior,INCREASE,HIGH,2,1,1.0,33.15,25.0,93.75,14.353184446514826
Camera  Standard,TEST_INCREASE,HIGH,2,8,2.0,27.450000000000003,0.0,71.42857142857143,6.407385084162019
Camera Deluxe,TEST_INCREASE,HIGH,1,1,1.0,13.83,0.0,80.0,5.143621609615749
Appartamento Area Piscina,HOLD,MEDIUM,1,4,0.0,0.0,-12.5,77.77777777777777,0.0
Appartamento Area Giardino,HOLD,HIGH,23,313,132.92857142857144,0.0,-20.517241379310345,51.39751552795031,0.0
Appartamento Area Giardino,TEST_INCREASE,HIGH,4,0,0.0,0.0,0.0,100.0,15.0
Appartamento Area Giardino,HOLD_HIGH,HIGH,4,81,40.3,0.0,-22.5,27.67857142857143,0.0
Appartamento Area Piscina,PROTECT_VOLUME,HIGH,5,63,12.0,0.0,-55.0,30.0,0.0
Camera  Standard,HOLD,HIGH,18,173,66.03333333333333,0.0,-22.81576448243115,31.34920634920635,0.0
Camera  Standard,HOLD_HIGH,HIGH,30,129,89.73333333333333,0.0,84.55555555555556,69.28571428571428,0.0
Camera  Standard,HOLD,MEDIUM,1,1,0.0,0.0,0.0,92.85714285714286,0.0
Camera  Standard,HOLD_HIGH,MEDIUM,3,0,0.0,0.0,45.18518518518518,100.0,0.0
Appartamento Area Piscina,HOLD_HIGH,HIGH,10,96,48.72142857142857,0.0,24.523809523809526,46.66666666666667,0.0
Appartamento Area Piscina,HOLD_HIGH,MEDIUM,8,46,0.0,0.0,-23.4375,68.05555555555556,0.0
Appartamento Area Piscina,HOLD,HIGH,16,159,70.39999999999999,0.0,21.09375,44.791666666666664,0.0
Camera Deluxe,HOLD_HIGH,HIGH,2,3,1.75,0.0,-12.5,70.0,0.0
Camera Deluxe,HOLD,MEDIUM,8,8,0.0,0.0,-11.597222222222221,80.0,0.0
Camera Deluxe,HOLD,HIGH,13,34,12.85,0.0,-31.837606837606838,47.69230769230769,0.0
Camera Deluxe,HOLD_HIGH,MEDIUM,1,0,0.0,0.0,25.0,100.0,0.0
Camera Superior,HOLD,HIGH,2,6,4.4,0.0,0.0,62.5,0.0
Camera Superior,HOLD,MEDIUM,1,0,0.0,0.0,33.333333333333336,100.0,0.0
Camera Deluxe,PROTECT_VOLUME,HIGH,1,4,1.2,0.0,-66.66666666666667,20.0,0.0
Camera Deluxe,PROTECT_VOLUME,MEDIUM,1,4,0.0,0.0,-80.0,20.0,0.0
Camera Superior,HOLD_HIGH,MEDIUM,3,0,0.0,0.0,-11.111111111111109,100.0,0.0
Camera Superior,HOLD_HIGH,HIGH,31,105,57.05714285714286,0.0,-1.8049155145929339,57.66129032258065,0.0
OTA Camera Standard,HOLD,LOW,7,9,0.0,0.0,,57.142857142857146,0.0
Suite Familiare,HOLD,LOW,7,0,0.0,0.0,100.0,100.0,0.0
Suite Familiare Vista Piscina,HOLD,MEDIUM,23,0,0.0,0.0,0.0,100.0,0.0
Villino 2Ten,HOLD,LOW,5,0,0.0,0.0,0.0,100.0,0.0
Villino 2Ten,HOLD,MEDIUM,14,0,0.0,0.0,0.0,100.0,0.0
Villino Double,HOLD,MEDIUM,31,0,0.0,0.0,0.0,100.0,0.0
