stay_month,occupied_room_nights,calendar_available_room_nights,calendar_occupancy_pct,peak_daily_room_type_occupancy_pct,over_capacity_rows,inferred_operating_month,operating_available_room_nights,operating_occupancy_pct
2024-05,6,80,7.5,100.0,0,False,0,
2024-06,1893,2400,78.88,200.0,55,True,2400,78.88
2024-07,2303,2480,92.86,180.0,70,True,2480,92.86
2024-08,2315,2480,93.35,200.0,77,True,2480,93.35
2024-09,1107,2400,46.12,140.0,22,True,2400,46.12
2024-10,0,2480,0.0,0.0,0,False,0,
2024-11,0,2400,0.0,0.0,0,False,0,
2024-12,0,2480,0.0,0.0,0,False,0,
2025-01,0,2480,0.0,0.0,0,False,0,
2025-02,0,2240,0.0,0.0,0,False,0,
2025-03,0,2480,0.0,0.0,0,False,0,
2025-04,0,2400,0.0,0.0,0,False,0,
2025-05,70,2480,2.82,114.29,2,True,2480,2.82
2025-06,1339,2400,55.79,140.0,15,True,2400,55.79
2025-07,2282,2480,92.02,150.0,43,True,2480,92.02
2025-08,2316,2480,93.39,200.0,50,True,2480,93.39
2025-09,885,2400,36.88,137.5,20,True,2400,36.88
2025-10,0,2480,0.0,0.0,0,False,0,
2025-11,18,2400,0.75,100.0,0,False,0,
2025-12,0,2480,0.0,0.0,0,False,0,
2026-01,0,2480,0.0,0.0,0,False,0,
2026-02,0,2240,0.0,0.0,0,False,0,
2026-03,0,2480,0.0,0.0,0,False,0,
2026-04,0,2400,0.0,0.0,0,False,0,
2026-05,310,2480,12.5,125.0,4,True,2480,12.5
2026-06,1351,2400,56.29,300.0,21,True,2400,56.29
2026-07,2228,2400,92.83,150.0,44,True,2400,92.83
