stay_year,stay_month_num,season,booking_window,room_name,bookings,room_nights,revenue,avg_adr,avg_lead_days,realized_adr,cancellation_pct,quoted_requests,conversion_pct,benchmark_adr,comparable_years,comparable_volume,comparable_conversion,comparable_cancel,adr_gap,adr_gap_pct,raw_gross_opportunity,conversion_supported,cancel_supported,confidence,max_uplift_pct,decision,reason
2024,7,PEAK,91-180,Appartamento Area Giardino,72,614,64037.5,100.14027777777778,114.16666666666667,104.2956026058632,13.095238095238095,112.0,6.25,224.59554227941175,3,1258,5.031446540880503,7.352941176470588,120.29993967354855,1.1534516956401921,73864.16295955882,True,True,HIGH,0.15,INCREASE,ADR 104.30 vs benchmark 224.60; gap 115.3%; conversion supports uplift; cancellation 13.1%.
2025,7,PEAK,91-180,Appartamento Area Giardino,63,544,63198.43,122.68698412698413,128.4126984126984,116.17358455882353,7.352941176470588,116.0,3.4482758620689653,224.59554227941175,3,1258,5.031446540880503,7.352941176470588,108.42195772058821,0.9332754785205896,58981.544999999984,False,True,HIGH,0.15,HOLD,ADR 116.17 vs benchmark 224.60; gap 93.3%; conversion does not support uplift; cancellation 7.4%.
2024,6,SHOULDER,61-90,Appartamento Area Giardino,43,336,27991.5,83.91511627906976,76.30232558139535,83.30803571428571,8.333333333333334,20.0,5.0,178.25797980235785,2,439,4.673913043478261,4.166666666666667,94.94994408807214,1.139745323172829,31903.18121359224,True,True,HIGH,0.15,INCREASE,ADR 83.31 vs benchmark 178.26; gap 114.0%; conversion supports uplift; cancellation 8.3%.
2024,8,PEAK,91-180,Appartamento Area Giardino,92,753,54133.0,63.66826086956521,129.92391304347825,71.88977423638778,4.123711340206185,115.0,3.4782608695652173,105.38950595077806,2,1330,1.7391304347826086,4.801581697500353,33.49973171439028,0.4659874379941234,25225.29798093588,True,True,HIGH,0.15,INCREASE,ADR 71.89 vs benchmark 105.39; gap 46.6%; conversion supports uplift; cancellation 4.1%.
2024,7,PEAK,61-90,Appartamento Area Giardino,17,139,11011.5,82.13058823529411,84.88235294117646,79.21942446043165,22.727272727272727,10.0,10.0,250.1857214997233,2,217,9.166666666666668,22.077922077922075,170.96629703929165,2.158136065791358,23764.315288461537,True,True,MEDIUM,0.15,INCREASE,ADR 79.22 vs benchmark 250.19; gap 215.8%; conversion supports uplift; cancellation 22.7%.
2024,7,PEAK,91-180,Camera  Standard,23,160,14079.5,89.67521739130434,109.82608695652173,87.996875,32.35294117647059,90.0,3.3333333333333335,195.4029730504587,3,333,2.4539877300613497,32.35294117647059,107.40609805045871,1.2205671854876519,17184.975688073395,True,False,HIGH,0.15,TEST_SMALL_INCREASE,ADR 88.00 vs benchmark 195.40; gap 122.1%; conversion supports uplift; cancellation 32.4%.
2024,8,PEAK,91-180,Camera  Standard,22,180,15507.5,53.565909090909095,120.63636363636364,86.15277777777777,18.51851851851852,137.0,0.0,180.39207228535352,2,356,1.2367491166077738,34.76946334089192,94.23929450757575,1.0938625188691689,16963.073011363635,False,True,HIGH,0.15,HOLD,ADR 86.15 vs benchmark 180.39; gap 109.4%; conversion does not support uplift; cancellation 18.5%.
2025,7,PEAK,61-90,Appartamento Area Piscina,11,119,22598.9,223.6818181818182,76.72727272727273,189.90672268907565,15.384615384615385,78.0,2.5641025641025643,276.9462752668635,2,193,2.7972027972027975,11.85897435897436,87.03955257778784,0.4583279167019967,10357.706756756754,True,True,HIGH,0.15,INCREASE,ADR 189.91 vs benchmark 276.95; gap 45.8%; conversion supports uplift; cancellation 15.4%.
2025,6,SHOULDER,91-180,Appartamento Area Giardino,12,95,7298.0,80.7225,105.41666666666667,76.82105263157895,25.0,43.0,0.0,184.16218357311965,2,384,7.333333333333333,15.277777777777779,107.3411309415407,1.3972879473069835,10197.407439446366,False,True,MEDIUM,0.15,HOLD,ADR 76.82 vs benchmark 184.16; gap 139.7%; conversion does not support uplift; cancellation 25.0%.
2025,8,PEAK,91-180,Appartamento Area Piscina,21,218,39289.12,193.8409523809524,135.66666666666666,180.22532110091745,22.22222222222222,321.0,2.1806853582554515,225.32815567205478,2,407,3.218002253595811,17.36111111111111,45.10283457113732,0.25025803419643744,9832.417936507936,False,True,HIGH,0.15,HOLD,ADR 180.23 vs benchmark 225.33; gap 25.0%; conversion does not support uplift; cancellation 22.2%.
2025,8,PEAK,31-60,Appartamento Area Piscina,14,105,30462.19,284.4,48.642857142857146,290.1160952380952,12.5,297.0,2.356902356902357,382.90299921935986,2,227,4.90515925298534,11.513157894736842,92.78690398126463,0.31982680555904835,9742.624918032787,False,True,MEDIUM,0.15,HOLD,ADR 290.12 vs benchmark 382.90; gap 32.0%; conversion does not support uplift; cancellation 12.5%.
2025,7,PEAK,0-7,Appartamento Area Giardino,17,79,16114.0,208.29823529411766,3.176470588235294,203.9746835443038,19.047619047619047,71.0,2.816901408450704,304.57722088607596,2,129,2.228122835372893,9.523809523809524,100.60253734177218,0.49321090045922816,7947.600450000002,True,True,HIGH,0.15,INCREASE,ADR 203.97 vs benchmark 304.58; gap 49.3%; conversion supports uplift; cancellation 19.0%.
2024,6,SHOULDER,15-30,Appartamento Area Giardino,11,57,3541.5,67.5990909090909,20.0,62.13157894736842,20.0,87.0,0.0,174.22386931311328,2,116,0.8403361344537815,12.631578947368421,112.09229036574487,1.8041114078349452,6389.260550847458,False,True,MEDIUM,0.15,HOLD,ADR 62.13 vs benchmark 174.22; gap 180.4%; conversion does not support uplift; cancellation 20.0%.
2024,7,PEAK,91-180,Appartamento Area Piscina,16,127,33772.0,264.076875,125.9375,265.9212598425197,15.789473684210526,110.0,9.090909090909092,310.2109728553668,2,222,4.916512059369203,21.228070175438596,44.28971301284707,0.16655198248938702,5624.793552631579,True,True,HIGH,0.15,INCREASE,ADR 265.92 vs benchmark 310.21; gap 16.7%; conversion supports uplift; cancellation 15.8%.
2025,8,PEAK,0-7,Camera  Standard,19,56,7638.87,138.34473684210528,3.0,136.40839285714284,24.0,35.0,20.0,224.84403369815666,2,149,16.42857142857143,29.857142857142858,88.43564084101382,0.648315246508551,4952.3958870967745,True,True,MEDIUM,0.15,INCREASE,ADR 136.41 vs benchmark 224.84; gap 64.8%; conversion supports uplift; cancellation 24.0%.
2024,6,SHOULDER,31-60,Camera  Standard,10,44,2059.46,38.974000000000004,45.1,46.80590909090909,16.666666666666668,25.0,0.0,147.78873948570055,3,174,1.694915254237288,26.08695652173913,100.98283039479145,2.157480377074973,4443.244537370823,False,True,LOW,0.15,HOLD,ADR 46.81 vs benchmark 147.79; gap 215.7%; conversion does not support uplift; cancellation 16.7%.
2024,9,SHOULDER,0-7,Appartamento Area Giardino,21,112,16899.43,142.36380952380952,3.0952380952380953,150.88776785714285,12.5,21.0,19.047619047619047,189.36120920566503,2,228,26.19047619047619,8.881578947368421,38.473441348522186,0.25498051893078555,4309.025431034484,False,True,MEDIUM,0.15,HOLD,ADR 150.89 vs benchmark 189.36; gap 25.5%; conversion does not support uplift; cancellation 12.5%.
2025,7,PEAK,0-7,Appartamento Area Piscina,15,67,14574.31,203.53,4.0,217.52701492537312,21.05263157894737,54.0,9.25925925925926,277.0755037313433,2,123,5.436081242532856,15.526315789473685,59.54848880597018,0.27375215361825034,3989.748750000002,True,True,HIGH,0.15,INCREASE,ADR 217.53 vs benchmark 277.08; gap 27.4%; conversion supports uplift; cancellation 21.1%.
2024,6,SHOULDER,31-60,Appartamento Area Giardino,12,71,9255.5,144.02333333333334,47.5,130.35915492957747,7.6923076923076925,58.0,5.172413793103448,183.3799887323944,2,171,5.484757621189406,15.610859728506789,53.020833802816924,0.40672888552752434,3764.4792000000016,True,True,HIGH,0.15,INCREASE,ADR 130.36 vs benchmark 183.38; gap 40.7%; conversion supports uplift; cancellation 7.7%.
2025,7,PEAK,31-60,Camera  Standard,20,112,20066.66,179.73499999999999,42.75,179.16660714285715,39.39393939393939,121.0,7.43801652892562,211.85894829734218,2,198,5.08887127816144,19.696969696969695,32.692341154485035,0.18246894148315285,3661.542209302324,True,False,HIGH,0.15,TEST_SMALL_INCREASE,ADR 179.17 vs benchmark 211.86; gap 18.2%; conversion supports uplift; cancellation 39.4%.
2025,7,PEAK,91-180,Camera Superior,12,76,15158.95,199.71583333333334,116.75,199.45986842105265,20.0,212.0,0.4716981132075472,238.36253992079713,2,179,3.0136268343815513,10.0,38.902671499744486,0.19504009406855888,2956.603033980581,False,True,MEDIUM,0.15,HOLD,ADR 199.46 vs benchmark 238.36; gap 19.5%; conversion does not support uplift; cancellation 20.0%.
2025,7,PEAK,8-14,Camera  Standard,15,50,8537.32,156.636,11.2,170.7464,6.25,29.0,6.896551724137931,224.48523636363635,2,83,6.226053639846743,7.291666666666667,53.73883636363635,0.31472895688363767,2686.941818181818,True,True,MEDIUM,0.15,INCREASE,ADR 170.75 vs benchmark 224.49; gap 31.5%; conversion supports uplift; cancellation 6.2%.
2025,7,PEAK,61-90,Camera  Standard,19,99,17583.27,178.80684210526314,73.21052631578948,177.6087878787879,34.48275862068966,85.0,2.3529411764705883,203.4512717728466,2,226,4.021999043519847,24.38423645320197,25.842483894058716,0.14550228174348756,2558.4059055118128,False,False,LOW,0.14550228174348756,HOLD,ADR 177.61 vs benchmark 203.45; gap 14.6%; conversion does not support uplift; cancellation 34.5%.
2025,6,SHOULDER,31-60,Camera Superior,12,63,8638.51,124.02833333333332,41.916666666666664,137.11920634920637,29.41176470588235,133.0,2.255639097744361,175.443823326432,2,155,5.353171661548236,28.342245989304814,38.324616977225645,0.2794985326827445,2414.4508695652157,False,True,MEDIUM,0.15,HOLD,ADR 137.12 vs benchmark 175.44; gap 27.9%; conversion does not support uplift; cancellation 29.4%.
2026,6,SHOULDER,15-30,Appartamento Area Piscina,16,78,14584.73,184.81875,19.5625,186.98371794871795,15.789473684210526,82.0,4.878048780487805,207.09408738191635,2,135,5.828854898718479,20.394736842105264,20.1103694331984,0.10755144701269582,1568.608815789475,False,True,MEDIUM,0.10755144701269582,HOLD,ADR 186.98 vs benchmark 207.09; gap 10.8%; conversion does not support uplift; cancellation 15.8%.
2026,6,SHOULDER,0-7,Appartamento Area Giardino,10,32,3214.27,115.38399999999999,2.7,100.4459375,9.090909090909092,59.0,6.779661016949152,147.63099257172132,2,154,18.84437596302003,10.955710955710956,47.18505507172132,0.46975573374205726,1509.9217622950823,False,True,MEDIUM,0.15,HOLD,ADR 100.45 vs benchmark 147.63; gap 47.0%; conversion does not support uplift; cancellation 9.1%.
2025,6,SHOULDER,0-7,Appartamento Area Piscina,12,41,5275.31,132.10166666666666,3.6666666666666665,128.66609756097563,0.0,16.0,25.0,165.40999503968254,3,152,7.317073170731708,0.0,36.74389747870691,0.2855755958658322,1506.4997966269834,True,True,MEDIUM,0.15,INCREASE,ADR 128.67 vs benchmark 165.41; gap 28.6%; conversion supports uplift; cancellation 0.0%.
2025,6,SHOULDER,31-60,Appartamento Area Piscina,21,137,28341.44,203.07095238095238,42.38095238095238,206.87182481751825,38.23529411764706,185.0,5.405405405405405,217.55672423991481,3,323,5.172413793103448,12.5,10.684899422396569,0.05164985339024164,1463.8312208683299,True,False,HIGH,0.05164985339024164,TEST_SMALL_INCREASE,ADR 206.87 vs benchmark 217.56; gap 5.2%; conversion supports uplift; cancellation 38.2%.
2024,6,SHOULDER,91-180,Camera  Standard,20,135,20529.0,151.939,117.15,152.06666666666666,16.666666666666668,104.0,4.8076923076923075,161.2908712121212,2,201,5.403846153846153,22.61904761904762,9.22420454545454,0.06065895141684266,1245.267613636363,False,True,HIGH,0.06065895141684266,HOLD,ADR 152.07 vs benchmark 161.29; gap 6.1%; conversion does not support uplift; cancellation 16.7%.
2025,7,PEAK,0-7,Camera Superior,11,18,3031.66,158.48454545454544,3.5454545454545454,168.42555555555555,8.333333333333334,11.0,18.181818181818183,232.21196924603174,2,74,9.090909090909092,14.166666666666668,63.786413690476195,0.3787217057415975,1148.1554464285714,True,True,MEDIUM,0.15,INCREASE,ADR 168.43 vs benchmark 232.21; gap 37.9%; conversion supports uplift; cancellation 8.3%.
2025,6,SHOULDER,15-30,Camera  Standard,13,51,6536.46,133.1346153846154,22.923076923076923,128.16588235294117,27.77777777777778,62.0,4.838709677419355,149.73173374613,2,108,8.669354838709678,17.22222222222222,21.565851393188836,0.1682651497986113,1099.8584210526305,False,True,MEDIUM,0.15,HOLD,ADR 128.17 vs benchmark 149.73; gap 16.8%; conversion does not support uplift; cancellation 27.8%.
2026,6,SHOULDER,0-7,Camera  Standard,24,61,6029.24,99.15249999999999,1.8333333333333333,98.84,14.285714285714286,6.0,0.0,113.40355263157895,2,118,20.0,15.207373271889402,14.563552631578943,0.1473447251272657,888.3767105263155,False,True,MEDIUM,0.1473447251272657,HOLD,ADR 98.84 vs benchmark 113.40; gap 14.7%; conversion does not support uplift; cancellation 14.3%.
2025,7,PEAK,91-180,Camera  Standard,10,64,11629.48,179.672,125.7,181.710625,56.52173913043478,163.0,2.4539877300613497,195.4029730504587,3,333,2.4539877300613497,32.35294117647059,13.692348050458719,0.07535248998487963,876.310275229358,True,False,MEDIUM,0.07535248998487963,TEST_SMALL_INCREASE,ADR 181.71 vs benchmark 195.40; gap 7.5%; conversion supports uplift; cancellation 56.5%.
2024,6,SHOULDER,0-7,Appartamento Area Piscina,10,63,9696.5,135.57,3.1,153.9126984126984,16.666666666666668,42.0,4.761904761904762,165.40999503968254,3,152,7.317073170731708,0.0,11.497296626984138,0.0747001173103698,724.3296875000007,False,True,MEDIUM,0.0747001173103698,HOLD,ADR 153.91 vs benchmark 165.41; gap 7.5%; conversion does not support uplift; cancellation 16.7%.
