source_action_id,decision_date,stay_year,stay_month_num,room_name,treatment,action_type,trajectory_step,price_change_this_step_pct,cumulative_price_change_pct,retrospective_target_change_pct,lead_days_to_stay_month,requests_to_date,historical_requests_same_lead,request_pace_index,conversion_to_date_pct,historical_conversion_same_lead_pct,conversion_delta_pp,occupancy_on_books_pct,historical_occupancy_same_lead_pct,timing_score,timing_confidence,economic_value_eur_final_target,decision_reason
2,2026-02-22,2026,5,Camera  Standard,,PRICE_DOWN,1,-5.0,-5.0,-25.0,68,16,2.0,,0.0,0.0,0.0,0.0,0.46,0.186,MEDIUM,4489.31,Progressive PRICE_DOWN move: evidence supports the target direction with 68 days to stay month. Move -5% now; cumulative -5% toward retrospective target -25%.
2,2026-03-08,2026,5,Camera  Standard,,PRICE_DOWN,2,-10.0,-15.0,-25.0,54,18,3.0,,0.0,0.0,0.0,0.0,0.46,0.18,MEDIUM,4489.31,Progressive PRICE_DOWN move: evidence supports the target direction with 54 days to stay month. Move -10% now; cumulative -15% toward retrospective target -25%.
2,2026-03-22,2026,5,Camera  Standard,,PRICE_DOWN,3,-10.0,-25.0,-25.0,40,19,3.5,,0.0,0.0,0.0,0.0,0.46,0.174,MEDIUM,4489.31,Progressive PRICE_DOWN move: evidence supports the target direction with 40 days to stay month. Move -10% now; cumulative -25% toward retrospective target -25%.
11,2026-01-28,2026,6,Appartamento Area Giardino,,PRICE_DOWN,1,-5.0,-5.0,-25.0,124,20,23.0,0.87,10.0,11.11,-1.11,17.5,7.44,0.268,MEDIUM,20969.76,Progressive PRICE_DOWN move: evidence supports the target direction with 124 days to stay month. Move -5% now; cumulative -5% toward retrospective target -25%.
11,2026-02-11,2026,6,Appartamento Area Giardino,,PRICE_DOWN,2,-10.0,-15.0,-25.0,110,23,34.0,0.676,8.7,8.82,-0.13,17.5,11.49,0.521,MEDIUM,20969.76,Progressive PRICE_DOWN move: evidence supports the target direction with 110 days to stay month. Move -10% now; cumulative -15% toward retrospective target -25%.
11,2026-02-25,2026,6,Appartamento Area Giardino,,PRICE_DOWN,3,-10.0,-25.0,-25.0,96,27,46.0,0.587,7.41,7.97,-0.56,17.5,14.82,0.569,MEDIUM,20969.76,Progressive PRICE_DOWN move: evidence supports the target direction with 96 days to stay month. Move -10% now; cumulative -25% toward retrospective target -25%.
13,2025-12-31,2026,6,Appartamento Area Piscina,,PRICE_DOWN,1,-5.0,-5.0,-20.0,152,15,4.0,,0.0,7.14,-7.14,3.89,1.48,0.334,MEDIUM,5236.75,Progressive PRICE_DOWN move: evidence supports the target direction with 152 days to stay month. Move -5% now; cumulative -5% toward retrospective target -20%.
13,2026-01-14,2026,6,Appartamento Area Piscina,,PRICE_DOWN,2,-5.0,-10.0,-20.0,138,30,5.0,,0.0,12.5,-12.5,3.89,2.78,0.447,MEDIUM,5236.75,Progressive PRICE_DOWN move: evidence supports the target direction with 138 days to stay month. Move -5% now; cumulative -10% toward retrospective target -20%.
13,2026-01-28,2026,6,Appartamento Area Piscina,,PRICE_DOWN,3,-5.0,-15.0,-20.0,124,53,7.5,,0.0,11.11,-11.11,5.19,2.78,0.404,MEDIUM,5236.75,Progressive PRICE_DOWN move: evidence supports the target direction with 124 days to stay month. Move -5% now; cumulative -15% toward retrospective target -20%.
14,2025-12-31,2026,6,Camera Deluxe,,PRICE_DOWN,1,-5.0,-5.0,-25.0,152,14,6.5,,0.0,8.33,-8.33,0.0,18.67,0.591,MEDIUM,4997.39,Progressive PRICE_DOWN move: evidence supports the target direction with 152 days to stay month. Move -5% now; cumulative -5% toward retrospective target -25%.
14,2026-01-14,2026,6,Camera Deluxe,,PRICE_DOWN,2,-5.0,-10.0,-25.0,138,29,10.5,2.762,0.0,8.82,-8.82,0.0,27.33,0.195,MEDIUM,4997.39,Progressive PRICE_DOWN move: evidence supports the target direction with 138 days to stay month. Move -5% now; cumulative -10% toward retrospective target -25%.
14,2026-01-28,2026,6,Camera Deluxe,,PRICE_DOWN,3,-5.0,-15.0,-25.0,124,45,15.0,3.0,0.0,13.66,-13.66,0.0,32.33,0.255,MEDIUM,4997.39,Progressive PRICE_DOWN move: evidence supports the target direction with 124 days to stay month. Move -5% now; cumulative -15% toward retrospective target -25%.
14,2026-02-11,2026,6,Camera Deluxe,,PRICE_DOWN,4,-5.0,-20.0,-25.0,110,60,23.0,2.609,0.0,10.43,-10.43,0.0,41.67,0.216,MEDIUM,4997.39,Progressive PRICE_DOWN move: evidence supports the target direction with 110 days to stay month. Move -5% now; cumulative -20% toward retrospective target -25%.
14,2026-02-25,2026,6,Camera Deluxe,,PRICE_DOWN,5,-5.0,-25.0,-25.0,96,99,29.5,3.356,0.0,10.1,-10.1,0.0,44.0,0.203,MEDIUM,4997.39,Progressive PRICE_DOWN move: evidence supports the target direction with 96 days to stay month. Move -5% now; cumulative -25% toward retrospective target -25%.
15,2025-12-24,2026,6,Camera Superior,,PRICE_UP,1,5.0,5.0,10.0,159,16,8.0,2.0,7.14,3.57,3.57,6.67,3.54,0.437,MEDIUM,2822.45,Progressive PRICE_UP move: evidence supports the target direction with 159 days to stay month. Move +5% now; cumulative +5% toward retrospective target +10%.
15,2026-05-13,2026,6,Camera Superior,,PRICE_UP,2,5.0,10.0,10.0,19,279,183.0,1.525,3.76,4.77,-1.01,59.17,57.29,0.43,MEDIUM,2822.45,Progressive PRICE_UP move: evidence supports the target direction with 19 days to stay month. Move +5% now; cumulative +10% toward retrospective target +10%.
21,2025-12-17,2026,6,Camera  Standard,,PRICE_DOWN,1,-5.0,-5.0,-5.0,166,15,15.5,0.968,0.0,0.0,0.0,0.0,1.67,0.289,MEDIUM,251.8,Progressive PRICE_DOWN move: evidence supports the target direction with 166 days to stay month. Move -5% now; cumulative -5% toward retrospective target -5%.
24,2026-02-13,2026,7,Appartamento Area Piscina,Mezza Pensione,PACKAGE_PRICE_UP,1,5.0,5.0,10.0,138,50,9.5,5.263,4.0,4.17,-0.17,16.31,3.41,0.48,MEDIUM,10278.866000000002,Progressive PACKAGE_PRICE_UP move: evidence supports the target direction with 138 days to stay month. Move +5% now; cumulative +5% toward retrospective target +10%.
24,2026-02-27,2026,7,Appartamento Area Piscina,Mezza Pensione,PACKAGE_PRICE_UP,2,5.0,10.0,10.0,124,92,14.0,6.571,2.25,2.63,-0.38,18.82,4.03,0.494,MEDIUM,10278.866000000002,Progressive PACKAGE_PRICE_UP move: evidence supports the target direction with 124 days to stay month. Move +5% now; cumulative +10% toward retrospective target +10%.
25,2026-04-03,2026,7,Appartamento Area Giardino,Mezza Pensione,PACKAGE_PRICE_UP,1,10.0,10.0,10.0,89,65,57.0,1.14,4.84,0.72,4.11,60.6,42.86,0.536,MEDIUM,8868.982,Progressive PACKAGE_PRICE_UP move: evidence supports the target direction with 89 days to stay month. Move +10% now; cumulative +10% toward retrospective target +10%.
26,2026-02-27,2026,7,Camera Superior,Mezza Pensione,PACKAGE_PRICE_UP,1,5.0,5.0,10.0,124,64,19.0,3.368,6.35,2.0,4.35,16.94,10.08,0.487,MEDIUM,6397.431,Progressive PACKAGE_PRICE_UP move: evidence supports the target direction with 124 days to stay month. Move +5% now; cumulative +5% toward retrospective target +10%.
26,2026-04-24,2026,7,Camera Superior,Mezza Pensione,PACKAGE_PRICE_UP,2,5.0,10.0,10.0,68,162,75.5,2.146,5.84,2.04,3.8,43.55,44.96,0.442,MEDIUM,6397.431,Progressive PACKAGE_PRICE_UP move: evidence supports the target direction with 68 days to stay month. Move +5% now; cumulative +10% toward retrospective target +10%.
27,2026-04-17,2026,7,Camera  Standard,Mezza Pensione,PACKAGE_PRICE_UP,1,10.0,10.0,10.0,75,138,62.0,2.226,3.79,1.8,1.99,34.79,23.85,0.534,MEDIUM,6277.462,Progressive PACKAGE_PRICE_UP move: evidence supports the target direction with 75 days to stay month. Move +10% now; cumulative +10% toward retrospective target +10%.
29,2026-04-17,2026,7,Camera  Standard,,PRICE_UP,1,5.0,5.0,5.0,75,292,142.5,2.049,2.17,2.48,-0.31,34.79,23.85,0.486,MEDIUM,2350.39,Progressive PRICE_UP move: evidence supports the target direction with 75 days to stay month. Move +5% now; cumulative +5% toward retrospective target +5%.
30,2026-05-15,2026,7,Villino Double,,PRICE_UP,1,10.0,10.0,25.0,47,47,2.0,,4.44,0.0,4.44,74.19,11.29,0.396,MEDIUM,1098.23,Progressive PRICE_UP move: evidence supports the target direction with 47 days to stay month. Move +10% now; cumulative +10% toward retrospective target +25%.
30,2026-05-29,2026,7,Villino Double,,PRICE_UP,2,10.0,20.0,25.0,33,49,4.0,,4.26,0.0,4.26,74.19,24.19,0.386,MEDIUM,1098.23,Progressive PRICE_UP move: evidence supports the target direction with 33 days to stay month. Move +10% now; cumulative +20% toward retrospective target +25%.
30,2026-06-12,2026,7,Villino Double,,PRICE_UP,3,5.0,25.0,25.0,19,50,10.0,5.0,4.17,0.0,4.17,74.19,24.19,0.778,HIGH,1098.23,Progressive PRICE_UP move: evidence supports the target direction with 19 days to stay month. Move +5% now; cumulative +25% toward retrospective target +25%.
32,2026-05-15,2026,7,Villino 2Ten,,PRICE_DOWN,1,-10.0,-10.0,-25.0,47,18,4.0,,5.88,7.14,-1.26,32.26,32.26,0.145,MEDIUM,656.25,Progressive PRICE_DOWN move: evidence supports the target direction with 47 days to stay month. Move -10% now; cumulative -10% toward retrospective target -25%.
32,2026-06-05,2026,7,Villino 2Ten,,PRICE_DOWN,2,-10.0,-20.0,-25.0,26,43,6.5,,2.5,4.17,-1.67,32.26,32.26,0.144,MEDIUM,656.25,Progressive PRICE_DOWN move: evidence supports the target direction with 26 days to stay month. Move -10% now; cumulative -20% toward retrospective target -25%.
33,2026-01-23,2026,7,Suite Familiare Vista Piscina,,PRICE_DOWN,1,-5.0,-5.0,-15.0,159,21,0.5,,0.0,0.0,0.0,0.0,0.0,0.221,MEDIUM,247.19,Progressive PRICE_DOWN move: evidence supports the target direction with 159 days to stay month. Move -5% now; cumulative -5% toward retrospective target -15%.
33,2026-02-06,2026,7,Suite Familiare Vista Piscina,,PRICE_DOWN,2,-5.0,-10.0,-15.0,145,36,1.0,,0.0,0.0,0.0,0.0,0.0,0.214,MEDIUM,247.19,Progressive PRICE_DOWN move: evidence supports the target direction with 145 days to stay month. Move -5% now; cumulative -10% toward retrospective target -15%.
33,2026-02-20,2026,7,Suite Familiare Vista Piscina,,PRICE_DOWN,3,-5.0,-15.0,-15.0,131,59,1.0,,0.0,0.0,0.0,0.0,0.0,0.208,MEDIUM,247.19,Progressive PRICE_DOWN move: evidence supports the target direction with 131 days to stay month. Move -5% now; cumulative -15% toward retrospective target -15%.
35,2026-01-23,2026,7,Suite Familiare,,PRICE_DOWN,1,-5.0,-5.0,-25.0,159,12,0.5,,0.0,0.0,0.0,0.0,0.0,0.221,MEDIUM,93.75,Progressive PRICE_DOWN move: evidence supports the target direction with 159 days to stay month. Move -5% now; cumulative -5% toward retrospective target -25%.
35,2026-02-06,2026,7,Suite Familiare,,PRICE_DOWN,2,-5.0,-10.0,-25.0,145,17,1.0,,0.0,0.0,0.0,0.0,0.0,0.214,MEDIUM,93.75,Progressive PRICE_DOWN move: evidence supports the target direction with 145 days to stay month. Move -5% now; cumulative -10% toward retrospective target -25%.
35,2026-02-20,2026,7,Suite Familiare,,PRICE_DOWN,3,-5.0,-15.0,-25.0,131,25,1.0,,0.0,0.0,0.0,0.0,0.0,0.208,MEDIUM,93.75,Progressive PRICE_DOWN move: evidence supports the target direction with 131 days to stay month. Move -5% now; cumulative -15% toward retrospective target -25%.
35,2026-03-06,2026,7,Suite Familiare,,PRICE_DOWN,4,-5.0,-20.0,-25.0,117,31,1.0,,0.0,0.0,0.0,0.0,0.0,0.202,MEDIUM,93.75,Progressive PRICE_DOWN move: evidence supports the target direction with 117 days to stay month. Move -5% now; cumulative -20% toward retrospective target -25%.
