stay_year,stay_month_num,season,room_name,regime,strategy,current_adr,recommended_price_change_pct,recommended_adr,current_occupancy_pct,expected_occupancy_pct,current_revpar,optimized_revpar,revpar_change_pct,actual_revenue,optimized_revenue,incremental_revenue_eur,room_nights,available_room_nights,conversion_pct,avg_los,elasticity_proxy,elasticity_source,elasticity_observations,confidence,reason
2026,6,SHOULDER,Appartamento Area Giardino,BALANCED,PRICE_DOWN,175.46,-25.0,131.6,59.05,97.7,103.61,128.57,24.1,87028.34,107998.1,20969.76,496.0,840.0,6.52,6.79,2.618,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -25% because it maximizes modeled RevPAR (103.61 -> 128.57) under the estimated price-volume response.
2025,6,SHOULDER,Appartamento Area Giardino,BALANCED,PRICE_DOWN,169.67,-25.0,127.25,55.24,91.4,93.72,116.3,24.1,78725.97,97695.25,18969.28,464.0,840.0,7.73,4.78,2.618,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -25% because it maximizes modeled RevPAR (93.72 -> 116.30) under the estimated price-volume response.
2025,8,PEAK,Appartamento Area Giardino,PRICE_POWER,PRICE_UP,167.78,10.0,184.55,102.53,100.0,172.03,184.55,7.28,149321.26,160193.19,10871.93,890.0,868.0,3.67,7.61,0.2,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +10% because it maximizes modeled RevPAR (172.03 -> 184.55) under the estimated price-volume response.
2024,8,PEAK,Camera  Standard,BALANCED,PRICE_UP,170.0,25.0,212.5,74.19,69.56,126.13,147.81,17.19,54740.5,64149.02,9408.52,322.0,434.0,2.71,6.85,0.25,PRIOR,0,LOW,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (126.13 -> 147.81) under the estimated price-volume response.
2024,7,PEAK,Camera Superior,PRICE_POWER,PRICE_UP,274.31,15.0,315.45,98.79,96.34,270.99,303.92,12.15,67205.05,75371.21,8166.16,245.0,248.0,4.52,5.98,0.165,OBSERVED,2,HIGH,PRICE_POWER: tested price grid and selected +15% because it maximizes modeled RevPAR (270.99 -> 303.92) under the estimated price-volume response.
2025,8,PEAK,Camera  Standard,PRICE_POWER,PRICE_UP,205.85,10.0,226.44,102.76,100.0,211.54,226.44,7.04,91810.38,98274.16,6463.78,446.0,434.0,6.01,5.13,0.25,PRIOR,0,LOW,PRICE_POWER: tested price grid and selected +10% because it maximizes modeled RevPAR (211.54 -> 226.44) under the estimated price-volume response.
2025,6,SHOULDER,Appartamento Area Piscina,BALANCED,PRICE_DOWN,174.88,-20.0,139.91,71.3,96.6,124.69,135.16,8.4,67330.32,72984.74,5654.42,385.0,540.0,6.09,5.13,1.775,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -20% because it maximizes modeled RevPAR (124.69 -> 135.16) under the estimated price-volume response.
2026,5,SHOULDER,Appartamento Area Piscina,VOLUME_OPPORTUNITY,PRICE_DOWN,178.87,-25.0,134.15,17.74,31.05,31.74,41.65,31.25,17708.38,23242.25,5533.87,99.0,558.0,3.03,2.91,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (31.74 -> 41.65) under the estimated price-volume response.
2026,6,SHOULDER,Appartamento Area Piscina,BALANCED,PRICE_DOWN,188.96,-20.0,151.17,61.11,82.8,115.48,125.17,8.4,62356.83,67593.58,5236.75,330.0,540.0,2.44,5.59,1.775,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -20% because it maximizes modeled RevPAR (115.48 -> 125.17) under the estimated price-volume response.
2024,7,PEAK,Camera  Standard,BALANCED,PRICE_UP,137.75,25.0,172.19,76.27,67.84,105.06,116.82,11.19,45595.5,50698.54,5103.04,331.0,434.0,5.7,6.25,0.442,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (105.06 -> 116.82) under the estimated price-volume response.
2026,6,SHOULDER,Camera Deluxe,VOLUME_OPPORTUNITY,PRICE_DOWN,205.02,-25.0,153.77,52.0,91.0,106.61,139.93,31.25,15991.64,20989.03,4997.39,78.0,150.0,0.44,6.0,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (106.61 -> 139.93) under the estimated price-volume response.
2025,8,PEAK,Camera Deluxe,BALANCED,PRICE_UP,293.12,25.0,366.4,63.23,59.27,185.33,217.18,17.19,28725.7,33662.93,4937.23,98.0,155.0,1.19,5.76,0.25,PRIOR,0,LOW,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (185.33 -> 217.18) under the estimated price-volume response.
2025,6,SHOULDER,Camera Superior,BALANCED,PRICE_UP,145.64,25.0,182.05,81.25,76.17,118.33,138.67,17.19,28399.76,33280.97,4881.21,195.0,240.0,4.34,4.64,0.25,PRIOR,0,LOW,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (118.33 -> 138.67) under the estimated price-volume response.
2024,6,SHOULDER,Camera Superior,BALANCED,PRICE_UP,143.53,25.0,179.41,80.42,75.39,115.42,135.26,17.19,27700.4,32461.41,4761.01,193.0,240.0,2.96,5.68,0.25,PRIOR,0,LOW,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (115.42 -> 135.26) under the estimated price-volume response.
2026,5,SHOULDER,Camera  Standard,VOLUME_OPPORTUNITY,PRICE_DOWN,179.57,-25.0,134.68,18.43,32.26,33.1,43.44,31.25,14365.78,18855.09,4489.31,80.0,434.0,4.88,2.76,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (33.10 -> 43.44) under the estimated price-volume response.
2024,8,PEAK,Appartamento Area Piscina,BALANCED,PRICE_UP,331.69,20.0,398.03,82.62,70.7,274.03,281.42,2.7,152908.5,157033.76,4125.26,461.0,558.0,4.56,7.56,0.721,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected +20% because it maximizes modeled RevPAR (274.03 -> 281.42) under the estimated price-volume response.
2026,6,SHOULDER,Camera Superior,PRICE_POWER,PRICE_UP,178.58,10.0,196.44,90.83,88.56,162.21,173.97,7.25,38930.37,41752.82,2822.45,218.0,240.0,4.15,4.95,0.25,PRIOR,0,LOW,PRICE_POWER: tested price grid and selected +10% because it maximizes modeled RevPAR (162.21 -> 173.97) under the estimated price-volume response.
2024,9,SHOULDER,Appartamento Area Giardino,VOLUME_OPPORTUNITY,PRICE_DOWN,162.6,-20.0,130.08,30.48,40.45,49.55,52.62,6.18,41625.93,44197.74,2571.81,256.0,840.0,3.36,5.95,1.636,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -20% because it maximizes modeled RevPAR (49.55 -> 52.62) under the estimated price-volume response.
2025,5,SHOULDER,Camera  Standard,VOLUME_OPPORTUNITY,PRICE_DOWN,223.47,-25.0,167.6,8.29,14.52,18.54,24.33,31.25,8045.0,10559.06,2514.06,36.0,434.0,16.0,2.25,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (18.54 -> 24.33) under the estimated price-volume response.
2025,5,SHOULDER,Appartamento Area Piscina,VOLUME_OPPORTUNITY,PRICE_DOWN,206.84,-25.0,155.13,6.81,11.92,14.09,18.49,31.25,7860.05,10316.32,2456.27,38.0,558.0,46.67,2.24,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (14.09 -> 18.49) under the estimated price-volume response.
2026,7,PEAK,Camera Deluxe,BALANCED,PRICE_UP,346.65,25.0,433.32,67.74,57.74,234.83,250.21,6.55,36398.69,38782.3,2383.61,105.0,155.0,0.41,6.18,0.59,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected +25% because it maximizes modeled RevPAR (234.83 -> 250.21) under the estimated price-volume response.
2026,7,PEAK,Camera  Standard,PRICE_POWER,PRICE_UP,213.36,5.0,224.03,94.7,92.61,202.06,207.47,2.68,87692.98,90043.37,2350.39,411.0,434.0,3.1,5.55,0.442,OBSERVED,1,MEDIUM,PRICE_POWER: tested price grid and selected +5% because it maximizes modeled RevPAR (202.06 -> 207.47) under the estimated price-volume response.
2025,6,SHOULDER,Camera Deluxe,BALANCED,PRICE_DOWN,201.29,-5.0,191.22,84.0,96.6,169.08,184.72,9.25,25362.15,27708.15,2346.0,126.0,150.0,2.26,5.04,3.0,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -5% because it maximizes modeled RevPAR (169.08 -> 184.72) under the estimated price-volume response.
2026,5,SHOULDER,Camera Superior,VOLUME_OPPORTUNITY,PRICE_DOWN,158.72,-25.0,119.04,16.94,29.64,26.88,35.28,31.25,6666.38,8749.62,2083.24,42.0,248.0,5.26,2.47,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (26.88 -> 35.28) under the estimated price-volume response.
2024,9,SHOULDER,Camera Deluxe,BALANCED,PRICE_DOWN,176.26,-25.0,132.19,59.33,89.48,104.58,118.28,13.1,15686.7,17742.25,2055.55,89.0,150.0,2.13,5.24,2.032,OBSERVED,1,MEDIUM,BALANCED: tested price grid and selected -25% because it maximizes modeled RevPAR (104.58 -> 118.28) under the estimated price-volume response.
2024,9,SHOULDER,Camera Superior,VOLUME_OPPORTUNITY,PRICE_DOWN,138.97,-25.0,104.23,50.42,74.91,70.06,78.08,11.44,16815.13,18739.41,1924.28,121.0,240.0,0.52,5.5,1.944,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (70.06 -> 78.08) under the estimated price-volume response.
2025,9,SHOULDER,Appartamento Area Giardino,VOLUME_OPPORTUNITY,PRICE_DOWN,202.97,-20.0,162.38,18.1,24.02,36.73,39.0,6.18,30852.14,32758.31,1906.17,152.0,840.0,17.02,3.53,1.636,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -20% because it maximizes modeled RevPAR (36.73 -> 39.00) under the estimated price-volume response.
2025,9,SHOULDER,Camera Deluxe,VOLUME_OPPORTUNITY,PRICE_DOWN,201.59,-25.0,151.19,42.0,63.34,84.67,95.76,13.1,12700.31,14364.53,1664.22,63.0,150.0,5.88,4.5,2.032,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (84.67 -> 95.76) under the estimated price-volume response.
2024,7,PEAK,Suite Familiare,VOLUME_OPPORTUNITY,PRICE_DOWN,412.08,-25.0,309.06,38.71,67.74,159.52,209.36,31.25,4945.0,6490.31,1545.31,12.0,31.0,4.76,6.0,3.0,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (159.52 -> 209.36) under the estimated price-volume response.
2025,9,SHOULDER,Camera Superior,VOLUME_OPPORTUNITY,PRICE_DOWN,162.01,-25.0,121.51,34.17,50.77,55.35,61.69,11.44,13285.05,14805.35,1520.3,82.0,240.0,8.62,3.04,1.944,OBSERVED,1,MEDIUM,VOLUME_OPPORTUNITY: tested price grid and selected -25% because it maximizes modeled RevPAR (55.35 -> 61.69) under the estimated price-volume response.
2024,9,SHOULDER,Appartamento Area Piscina,VOLUME_OPPORTUNITY,PRICE_DOWN,195.54,-15.0,166.21,32.22,39.47,63.01,65.61,4.12,34023.5,35426.97,1403.47,174.0,540.0,7.41,5.8,1.5,PRIOR,0,LOW,VOLUME_OPPORTUNITY: tested price grid and selected -15% because it maximizes modeled RevPAR (63.01 -> 65.61) under the estimated price-volume response.
