room_id,room_name,confirmed_bookings,room_nights,revenue,avg_adr,avg_los,avg_booking_window,revenue_per_booking,total_bookings,canceled_bookings,quantity,deleted,cancellation_rate_pct,occupancy_pct,revpar,revenue_share_pct,reliability,operating_occupied_room_nights,operating_available_room_nights,operating_occupancy_pct,operating_revpar
2764,Appartamento Area Giardino,983,6544,1005415.19,157.81,6.66,82.91,1022.8,1136,148,28,0,13.03,30.29,47.8,29.29,HIGH,6708,10248,65.46,103.3
2765,Appartamento Area Piscina,644,3957,918835.16,219.96,6.14,49.5,1426.76,799,153,18,0,19.15,28.35,62.37,26.77,HIGH,4037,6588,61.28,134.79
2761,Camera  Standard,746,3536,552328.88,143.68,4.74,48.88,740.39,999,250,14,0,25.03,32.45,46.62,16.09,HIGH,3576,5124,69.79,100.27
2762,Camera Superior,413,2110,443188.77,191.97,5.11,44.7,1073.1,569,151,8,0,26.54,33.77,64.83,12.91,HIGH,2134,2928,72.88,139.91
2763,Camera Deluxe,220,1266,327285.35,238.7,5.75,56.27,1487.66,289,65,5,0,22.49,32.11,76.65,9.54,HIGH,1268,1830,69.29,165.39
5376,Villino Double,31,191,57374.5,248.13,6.16,52.68,1850.79,42,10,1,0,23.81,24.91,61.8,1.67,MEDIUM,197,366,53.83,133.56
2767,Suite Familiare Vista Piscina,29,161,55337.0,296.27,5.55,54.66,1908.17,37,8,1,0,21.62,20.35,60.3,1.61,LOW,159,366,43.44,128.71
3231,Suite Familiare,27,144,39546.15,223.65,5.33,46.81,1464.67,37,9,1,0,24.32,18.2,40.72,1.15,LOW,144,366,39.34,87.99
5375,Villino 2Ten,27,166,31581.0,159.21,6.15,60.41,1169.67,36,8,1,0,22.22,20.99,33.41,0.92,LOW,166,366,45.36,72.21
22380,OTA Camera Standard,4,10,1516.71,155.64,2.5,20.0,379.18,9,5,3,0,55.56,0.42,0.66,0.04,INSUFFICIENT,10,1098,0.91,1.42
