room_name,confirmed_bookings,avg_los,avg_booking_window,operating_occupancy_pct,reliability,los_vs_property_pct,booking_window_vs_property_pct,occupancy_vs_property_pp
Appartamento Area Giardino,983,6.66,82.91,65.46,HIGH,15.04,38.6,2.62
Appartamento Area Piscina,644,6.14,49.5,61.28,HIGH,6.06,-17.25,-1.56
Camera  Standard,746,4.74,48.88,69.79,HIGH,-18.12,-18.29,6.95
Camera Superior,413,5.11,44.7,72.88,HIGH,-11.73,-25.28,10.04
Camera Deluxe,220,5.75,56.27,69.29,HIGH,-0.67,-5.93,6.45
Villino Double,31,6.16,52.68,53.83,MEDIUM,6.41,-11.94,-9.01
Suite Familiare Vista Piscina,29,5.55,54.66,43.44,LOW,-4.13,-8.63,-19.4
Suite Familiare,27,5.33,46.81,39.34,LOW,-7.93,-21.75,-23.5
Villino 2Ten,27,6.15,60.41,45.36,LOW,6.24,0.99,-17.48
OTA Camera Standard,4,2.5,20.0,0.91,INSUFFICIENT,-56.82,-66.57,-61.93
