scenario,room_name,stay_year,stay_month_num,season,booking_window,decision,confidence,historical_room_nights,historical_adr,benchmark_adr,simulated_adr,applied_uplift_pct,assumed_volume_retention_pct,historical_revenue,simulated_revenue,incremental_revenue,incremental_revenue_pct,break_even_volume_loss_pct,reason
low_adoption,Appartamento Area Giardino,2024,7,PEAK,91-180,INCREASE,HIGH,614,104.3,224.6,109.77,5.25,98.0,64037.5,66051.48,2013.98,3.15,4.99,ADR 104.30 vs benchmark 224.60; gap 115.3%; conversion supports uplift; cancellation 13.1%.
recommended,Appartamento Area Giardino,2024,7,PEAK,91-180,INCREASE,HIGH,614,104.3,224.6,113.68,9.0,95.0,64037.5,66310.83,2273.33,3.55,8.26,ADR 104.30 vs benchmark 224.60; gap 115.3%; conversion supports uplift; cancellation 13.1%.
full_optimization,Appartamento Area Giardino,2024,7,PEAK,91-180,INCREASE,HIGH,614,104.3,224.6,117.59,12.75,90.0,64037.5,64982.05,944.55,1.48,11.31,ADR 104.30 vs benchmark 224.60; gap 115.3%; conversion supports uplift; cancellation 13.1%.
low_adoption,Appartamento Area Giardino,2024,6,SHOULDER,61-90,INCREASE,HIGH,336,83.31,178.26,87.68,5.25,98.0,27991.5,28871.83,880.33,3.14,4.99,ADR 83.31 vs benchmark 178.26; gap 114.0%; conversion supports uplift; cancellation 8.3%.
recommended,Appartamento Area Giardino,2024,6,SHOULDER,61-90,INCREASE,HIGH,336,83.31,178.26,90.81,9.0,95.0,27991.5,28985.2,993.7,3.55,8.26,ADR 83.31 vs benchmark 178.26; gap 114.0%; conversion supports uplift; cancellation 8.3%.
full_optimization,Appartamento Area Giardino,2024,6,SHOULDER,61-90,INCREASE,HIGH,336,83.31,178.26,93.93,12.75,90.0,27991.5,28404.37,412.87,1.48,11.31,ADR 83.31 vs benchmark 178.26; gap 114.0%; conversion supports uplift; cancellation 8.3%.
low_adoption,Appartamento Area Giardino,2024,8,PEAK,91-180,INCREASE,HIGH,753,71.89,105.39,75.66,5.25,98.0,54133.0,55835.48,1702.48,3.15,4.99,ADR 71.89 vs benchmark 105.39; gap 46.6%; conversion supports uplift; cancellation 4.1%.
recommended,Appartamento Area Giardino,2024,8,PEAK,91-180,INCREASE,HIGH,753,71.89,105.39,78.36,9.0,95.0,54133.0,56054.72,1921.72,3.55,8.26,ADR 71.89 vs benchmark 105.39; gap 46.6%; conversion supports uplift; cancellation 4.1%.
full_optimization,Appartamento Area Giardino,2024,8,PEAK,91-180,INCREASE,HIGH,753,71.89,105.39,81.06,12.75,90.0,54133.0,54931.46,798.46,1.48,11.31,ADR 71.89 vs benchmark 105.39; gap 46.6%; conversion supports uplift; cancellation 4.1%.
recommended,Appartamento Area Giardino,2024,7,PEAK,61-90,INCREASE,MEDIUM,139,79.22,250.19,86.35,9.0,95.0,11011.5,11402.41,390.91,3.55,8.26,ADR 79.22 vs benchmark 250.19; gap 215.8%; conversion supports uplift; cancellation 22.7%.
full_optimization,Appartamento Area Giardino,2024,7,PEAK,61-90,INCREASE,MEDIUM,139,79.22,250.19,89.32,12.75,90.0,11011.5,11173.92,162.42,1.48,11.31,ADR 79.22 vs benchmark 250.19; gap 215.8%; conversion supports uplift; cancellation 22.7%.
low_adoption,Camera  Standard,2024,7,PEAK,91-180,TEST_SMALL_INCREASE,HIGH,160,88.0,195.4,92.62,5.25,98.0,14079.5,14522.3,442.8,3.15,4.99,ADR 88.00 vs benchmark 195.40; gap 122.1%; conversion supports uplift; cancellation 32.4%.
recommended,Camera  Standard,2024,7,PEAK,91-180,TEST_SMALL_INCREASE,HIGH,160,88.0,195.4,95.92,9.0,95.0,14079.5,14579.32,499.82,3.55,8.26,ADR 88.00 vs benchmark 195.40; gap 122.1%; conversion supports uplift; cancellation 32.4%.
full_optimization,Camera  Standard,2024,7,PEAK,91-180,TEST_SMALL_INCREASE,HIGH,160,88.0,195.4,99.22,12.75,90.0,14079.5,14287.17,207.67,1.47,11.31,ADR 88.00 vs benchmark 195.40; gap 122.1%; conversion supports uplift; cancellation 32.4%.
low_adoption,Appartamento Area Piscina,2025,7,PEAK,61-90,INCREASE,HIGH,119,189.91,276.95,199.88,5.25,98.0,22598.9,23309.64,710.74,3.14,4.99,ADR 189.91 vs benchmark 276.95; gap 45.8%; conversion supports uplift; cancellation 15.4%.
recommended,Appartamento Area Piscina,2025,7,PEAK,61-90,INCREASE,HIGH,119,189.91,276.95,207.0,9.0,95.0,22598.9,23401.16,802.26,3.55,8.26,ADR 189.91 vs benchmark 276.95; gap 45.8%; conversion supports uplift; cancellation 15.4%.
full_optimization,Appartamento Area Piscina,2025,7,PEAK,61-90,INCREASE,HIGH,119,189.91,276.95,214.12,12.75,90.0,22598.9,22932.23,333.33,1.47,11.31,ADR 189.91 vs benchmark 276.95; gap 45.8%; conversion supports uplift; cancellation 15.4%.
low_adoption,Appartamento Area Giardino,2025,7,PEAK,0-7,INCREASE,HIGH,79,203.97,304.58,214.68,5.25,98.0,16114.0,16620.79,506.79,3.14,4.99,ADR 203.97 vs benchmark 304.58; gap 49.3%; conversion supports uplift; cancellation 19.0%.
recommended,Appartamento Area Giardino,2025,7,PEAK,0-7,INCREASE,HIGH,79,203.97,304.58,222.33,9.0,95.0,16114.0,16686.05,572.05,3.55,8.26,ADR 203.97 vs benchmark 304.58; gap 49.3%; conversion supports uplift; cancellation 19.0%.
full_optimization,Appartamento Area Giardino,2025,7,PEAK,0-7,INCREASE,HIGH,79,203.97,304.58,229.98,12.75,90.0,16114.0,16351.68,237.68,1.48,11.31,ADR 203.97 vs benchmark 304.58; gap 49.3%; conversion supports uplift; cancellation 19.0%.
low_adoption,Appartamento Area Piscina,2024,7,PEAK,91-180,INCREASE,HIGH,127,265.92,310.21,279.88,5.25,98.0,33772.0,34834.13,1062.13,3.14,4.99,ADR 265.92 vs benchmark 310.21; gap 16.7%; conversion supports uplift; cancellation 15.8%.
recommended,Appartamento Area Piscina,2024,7,PEAK,91-180,INCREASE,HIGH,127,265.92,310.21,289.85,9.0,95.0,33772.0,34970.91,1198.91,3.55,8.26,ADR 265.92 vs benchmark 310.21; gap 16.7%; conversion supports uplift; cancellation 15.8%.
full_optimization,Appartamento Area Piscina,2024,7,PEAK,91-180,INCREASE,HIGH,127,265.92,310.21,299.83,12.75,90.0,33772.0,34270.14,498.14,1.47,11.31,ADR 265.92 vs benchmark 310.21; gap 16.7%; conversion supports uplift; cancellation 15.8%.
recommended,Camera  Standard,2025,8,PEAK,0-7,INCREASE,MEDIUM,56,136.41,224.84,148.69,9.0,95.0,7638.87,7910.05,271.18,3.55,8.26,ADR 136.41 vs benchmark 224.84; gap 64.8%; conversion supports uplift; cancellation 24.0%.
full_optimization,Camera  Standard,2025,8,PEAK,0-7,INCREASE,MEDIUM,56,136.41,224.84,153.8,12.75,90.0,7638.87,7751.54,112.67,1.47,11.31,ADR 136.41 vs benchmark 224.84; gap 64.8%; conversion supports uplift; cancellation 24.0%.
low_adoption,Appartamento Area Piscina,2025,7,PEAK,0-7,INCREASE,HIGH,67,217.53,277.08,228.95,5.25,98.0,14574.31,15032.67,458.36,3.14,4.99,ADR 217.53 vs benchmark 277.08; gap 27.4%; conversion supports uplift; cancellation 21.1%.
recommended,Appartamento Area Piscina,2025,7,PEAK,0-7,INCREASE,HIGH,67,217.53,277.08,237.1,9.0,95.0,14574.31,15091.7,517.39,3.55,8.26,ADR 217.53 vs benchmark 277.08; gap 27.4%; conversion supports uplift; cancellation 21.1%.
full_optimization,Appartamento Area Piscina,2025,7,PEAK,0-7,INCREASE,HIGH,67,217.53,277.08,245.26,12.75,90.0,14574.31,14789.28,214.97,1.48,11.31,ADR 217.53 vs benchmark 277.08; gap 27.4%; conversion supports uplift; cancellation 21.1%.
low_adoption,Appartamento Area Giardino,2024,6,SHOULDER,31-60,INCREASE,HIGH,71,130.36,183.38,137.2,5.25,98.0,9255.5,9546.59,291.09,3.14,4.99,ADR 130.36 vs benchmark 183.38; gap 40.7%; conversion supports uplift; cancellation 7.7%.
recommended,Appartamento Area Giardino,2024,6,SHOULDER,31-60,INCREASE,HIGH,71,130.36,183.38,142.09,9.0,95.0,9255.5,9584.07,328.57,3.55,8.26,ADR 130.36 vs benchmark 183.38; gap 40.7%; conversion supports uplift; cancellation 7.7%.
full_optimization,Appartamento Area Giardino,2024,6,SHOULDER,31-60,INCREASE,HIGH,71,130.36,183.38,146.98,12.75,90.0,9255.5,9392.02,136.52,1.48,11.31,ADR 130.36 vs benchmark 183.38; gap 40.7%; conversion supports uplift; cancellation 7.7%.
