stay_year,stay_month_num,room_name,treatment,action_type,recommended_action,economic_value_eur,confidence,decision_date,lead_days_to_stay_month,requests_to_date,historical_requests_same_lead,request_pace_index,timing_status,timing_reason
2024,5,Camera  Standard,,PRICE_DOWN,Change ROOM ADR -25% (124.25 → 93.19),310.62,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,5,Camera Superior,,PRICE_DOWN,Change ROOM ADR -25% (345.00 → 258.75),215.62,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,6,Villino Double,,PRICE_DOWN,Change ROOM ADR -20% (285.07 → 228.06),855.21,HIGH,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,6,Camera Superior,,PRICE_UP,Change ROOM ADR +25% (143.53 → 179.41),4761.01,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,6,Suite Familiare Vista Piscina,,PRICE_UP,Change ROOM ADR +25% (235.72 → 294.66),1178.62,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,6,Suite Familiare,,PRICE_UP,Change ROOM ADR +10% (277.86 → 305.64),564.05,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,6,Villino 2Ten,,PRICE_UP,Change ROOM ADR +25% (108.57 → 135.71),391.88,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,7,Suite Familiare,,PRICE_DOWN,Change ROOM ADR -25% (412.08 → 309.06),1545.31,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,7,Villino 2Ten,,PRICE_DOWN,Change ROOM ADR -25% (113.31 → 84.98),460.31,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,7,Camera Superior,,PRICE_UP,Change ROOM ADR +15% (274.31 → 315.45),8166.16,HIGH,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,7,Camera  Standard,,PRICE_UP,Change ROOM ADR +25% (137.75 → 172.19),5103.04,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,7,Villino Double,,PRICE_UP,Change ROOM ADR +25% (410.98 → 513.72),1156.0,HIGH,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,7,Appartamento Area Piscina,,PRICE_UP,Change ROOM ADR +10% (292.49 → 321.74),1027.44,HIGH,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,8,Camera  Standard,,PRICE_UP,Change ROOM ADR +25% (170.00 → 212.50),9408.52,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,8,Appartamento Area Piscina,,PRICE_UP,Change ROOM ADR +20% (331.69 → 398.03),4125.26,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,8,Villino Double,,PRICE_UP,Change ROOM ADR +10% (415.41 → 456.96),873.41,LOW,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
2024,9,Appartamento Area Giardino,,PRICE_DOWN,Change ROOM ADR -20% (162.60 → 130.08),2571.81,MEDIUM,,,,,,NO_ROBUST_REQUEST_PACE_TRIGGER,"Retrospective price action exists, but request pace alone did not meet the robust timing trigger."
