stay_year,stay_month_num,season,room_name,arrangement_name,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,realized_total_adr,treatment_mix_pct
2025,5,SHOULDER,Appartamento Area Giardino,Bed & Breakfast,3,7,517.15,10,2.3333333333333335,14.333333333333334,73.87857142857142,21.428571428571427
2024,6,SHOULDER,Appartamento Area Giardino,Bed & Breakfast,2,14,1326.0,9,7.0,76.0,94.71428571428571,1.6666666666666667
2025,6,SHOULDER,Appartamento Area Giardino,Bed & Breakfast,20,75,8260.87,72,3.75,31.1,110.14493333333334,20.61855670103093
2024,7,PEAK,Appartamento Area Giardino,Bed & Breakfast,4,31,4250.0,15,7.75,114.5,137.09677419354838,3.5714285714285716
2025,7,PEAK,Appartamento Area Giardino,Bed & Breakfast,10,67,5896.28,43,6.7,89.9,88.00417910447761,9.900990099009901
2024,8,PEAK,Appartamento Area Giardino,Bed & Breakfast,3,21,0.0,11,7.0,121.33333333333333,0.0,2.4390243902439024
2025,8,PEAK,Appartamento Area Giardino,Bed & Breakfast,20,123,17398.9,76,6.15,79.3,141.45447154471546,17.094017094017094
2025,9,SHOULDER,Appartamento Area Giardino,Bed & Breakfast,6,22,3210.7,22,3.6666666666666665,7.0,145.9409090909091,13.953488372093023
2024,6,SHOULDER,Appartamento Area Giardino,Formula Residence,7,70,2592.0,22,10.0,76.28571428571429,37.02857142857143,5.833333333333333
2024,7,PEAK,Appartamento Area Giardino,Formula Residence,20,182,0.0,77,9.1,105.15,0.0,17.857142857142858
2024,8,PEAK,Appartamento Area Giardino,Formula Residence,8,69,0.0,31,8.625,144.75,0.0,6.504065040650406
2024,9,SHOULDER,Appartamento Area Giardino,Formula Residence,1,7,0.0,3,7.0,156.0,0.0,2.3255813953488373
2025,5,SHOULDER,Appartamento Area Giardino,Mezza Pensione,4,14,2674.41,13,3.5,23.25,191.0292857142857,28.571428571428573
2026,5,SHOULDER,Appartamento Area Giardino,Mezza Pensione,19,38,6546.78,64,2.0,3.6315789473684212,172.2836842105263,35.18518518518518
2024,6,SHOULDER,Appartamento Area Giardino,Mezza Pensione,48,325,55186.0,153,6.770833333333333,78.35416666666667,169.80307692307693,40.0
2025,6,SHOULDER,Appartamento Area Giardino,Mezza Pensione,47,221,42412.84,152,4.702127659574468,22.319148936170212,191.9133031674208,48.45360824742268
2026,6,SHOULDER,Appartamento Area Giardino,Mezza Pensione,43,297,62501.07,167,6.906976744186046,49.81395348837209,210.44131313131314,58.9041095890411
2024,7,PEAK,Appartamento Area Giardino,Mezza Pensione,17,157,17620.5,87,9.235294117647058,98.94117647058823,112.23248407643312,15.178571428571429
2025,7,PEAK,Appartamento Area Giardino,Mezza Pensione,42,278,65764.25,171,6.619047619047619,68.30952380952381,236.56205035971223,41.584158415841586
2026,7,PEAK,Appartamento Area Giardino,Mezza Pensione,42,291,88689.82,160,6.928571428571429,56.023809523809526,304.7760137457045,37.16814159292036
2024,8,PEAK,Appartamento Area Giardino,Mezza Pensione,20,155,45541.5,77,7.75,111.5,293.81612903225806,16.260162601626018
2025,8,PEAK,Appartamento Area Giardino,Mezza Pensione,39,281,68098.16,162,7.205128205128205,79.64102564102564,242.34220640569396,33.333333333333336
2024,9,SHOULDER,Appartamento Area Giardino,Mezza Pensione,23,151,19391.5,57,6.565217391304348,53.21739130434783,128.4205298013245,53.48837209302326
2025,9,SHOULDER,Appartamento Area Giardino,Mezza Pensione,32,103,22051.44,122,3.21875,11.1875,214.09165048543687,74.4186046511628
