stay_year,stay_month_num,season,room_name,arrangement_name,bookings,room_nights,revenue,guests,avg_los,avg_lead_days,realized_total_adr,treatment_mix_pct,prev_total_adr,prev_room_nights,prev_bookings,total_adr_yoy_pct,volume_yoy_pct,price_resilient,recommended_price_change_pct,strategy,recommended_total_adr,incremental_revenue_eur,confidence,action_text,note
2026,7,PEAK,Appartamento Area Piscina,Mezza Pensione,47,330,102788.66,164,7.0212765957446805,56.191489361702125,311.4807878787879,65.27777777777777,257.23163090128753,233.0,35.0,21.08961358578738,41.63090128755365,True,10.0,PACKAGE_PRICE_UP,342.62886666666674,10278.866000000002,HIGH,Appartamento Area Piscina · Mezza Pensione · month 7: test TOTAL PACKAGE ADR +10%,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2026,7,PEAK,Appartamento Area Giardino,Mezza Pensione,42,291,88689.82,160,6.928571428571429,56.023809523809526,304.7760137457045,37.16814159292036,236.56205035971223,278.0,42.0,28.835547917456452,4.676258992805756,True,10.0,PACKAGE_PRICE_UP,335.253615120275,8868.982,HIGH,Appartamento Area Giardino · Mezza Pensione · month 7: test TOTAL PACKAGE ADR +10%,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2025,7,PEAK,Appartamento Area Giardino,Mezza Pensione,42,278,65764.25,171,6.619047619047619,68.30952380952381,236.56205035971223,41.584158415841586,112.23248407643312,157.0,17.0,110.77859258519804,77.07006369426752,True,10.0,PACKAGE_PRICE_UP,260.21825539568346,6576.425,MEDIUM,Appartamento Area Giardino · Mezza Pensione · month 7: test TOTAL PACKAGE ADR +10%,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2026,7,PEAK,Camera Superior,Mezza Pensione,37,235,63974.31,104,6.351351351351352,59.4054054054054,272.23110638297874,86.04651162790698,219.8273504273504,117.0,21.0,23.838596905141234,100.85470085470085,True,10.0,PACKAGE_PRICE_UP,299.45421702127663,6397.431,MEDIUM,Camera Superior · Mezza Pensione · month 7: test TOTAL PACKAGE ADR +10%,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2026,7,PEAK,Camera  Standard,Mezza Pensione,51,297,62774.62,105,5.823529411764706,63.07843137254902,211.3623569023569,68.91891891891892,188.83155660377358,212.0,44.0,11.93169229964028,40.094339622641506,True,10.0,PACKAGE_PRICE_UP,232.49859259259262,6277.462,HIGH,Camera  Standard · Mezza Pensione · month 7: test TOTAL PACKAGE ADR +10%,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2026,6,SHOULDER,Appartamento Area Giardino,Mezza Pensione,43,297,62501.07,167,6.906976744186046,49.81395348837209,210.44131313131314,58.9041095890411,191.9133031674208,221.0,47.0,9.654364579264696,34.38914027149321,True,10.0,PACKAGE_PRICE_UP,231.48544444444448,6250.107,HIGH,Appartamento Area Giardino · Mezza Pensione · month 6: test TOTAL PACKAGE ADR +10%,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2025,6,SHOULDER,Appartamento Area Piscina,Mezza Pensione,32,193,36357.59,99,6.03125,32.8125,188.38129533678756,42.666666666666664,178.7725,200.0,38.0,5.3748732812863,-3.5,True,10.0,PACKAGE_PRICE_UP,207.21942487046633,3635.7589999999996,HIGH,Appartamento Area Piscina · Mezza Pensione · month 6: test TOTAL PACKAGE ADR +10%,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2025,9,SHOULDER,Appartamento Area Giardino,Bed & Breakfast,6,22,3210.7,22,3.6666666666666665,7.0,145.9409090909091,13.953488372093023,,,,,,False,0.0,HOLD,145.9409090909091,0.0,LOW,HOLD,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2024,6,SHOULDER,Appartamento Area Giardino,Formula Residence,7,70,2592.0,22,10.0,76.28571428571429,37.02857142857143,5.833333333333333,,,,,,False,0.0,HOLD,37.02857142857143,0.0,LOW,HOLD,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
2024,7,PEAK,Appartamento Area Giardino,Formula Residence,20,182,0.0,77,9.1,105.15,0.0,17.857142857142858,,,,,,False,0.0,HOLD,0.0,0.0,LOW,HOLD,"TOTAL PACKAGE ADR signal. Source does not isolate the treatment add-on price, so this must not be described as a +X% treatment-component price."
