stay_year,stay_month_num,season,room_name,from_treatment,to_treatment,strategy,eligible_lower_treatment_bookings,observed_higher_treatment_bookings,observed_higher_treatment_share_pct,lower_total_adr,higher_total_adr,package_adr_premium_eur,test_upgrade_rate_pct,expected_test_upgrades,economic_value_proxy_eur,confidence,action_text,note
2024,8,PEAK,Appartamento Area Giardino,Solo Pernottamento,Mezza Pensione,PROMOTE_UPSELL,32,20,16.26,0.88,293.82,292.94,10.0,3.2,7997.18,MEDIUM,Appartamento Area Giardino · month 8: promote Solo Pernottamento → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,7,PEAK,Appartamento Area Giardino,Only Bed,Mezza Pensione,PROMOTE_UPSELL,34,42,41.58,66.07,236.56,170.49,10.0,3.4,5370.41,HIGH,Appartamento Area Giardino · month 7: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,8,PEAK,Appartamento Area Giardino,Only Bed,Bed & Breakfast,PROMOTE_UPSELL,46,20,17.09,97.9,141.45,43.56,10.0,4.6,1711.88,MEDIUM,Appartamento Area Giardino · month 8: promote Only Bed → Bed & Breakfast to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,7,PEAK,Appartamento Area Giardino,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,17,58,51.79,112.23,218.98,106.75,10.0,1.7,1675.91,MEDIUM,Appartamento Area Giardino · month 7: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,9,SHOULDER,Appartamento Area Giardino,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,23,18,41.86,128.42,228.46,100.04,10.0,2.3,1510.66,MEDIUM,Appartamento Area Giardino · month 9: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,8,PEAK,Appartamento Area Piscina,Only Bed,Mezza Pensione,PROMOTE_UPSELL,8,38,51.35,116.33,276.38,160.06,10.0,0.8,1488.52,MEDIUM,Appartamento Area Piscina · month 8: promote Only Bed → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2024,7,PEAK,Appartamento Area Giardino,Mezza Pensione Pranzo,Pensione Completa,PROMOTE_UPSELL,6,58,51.79,35.88,218.98,183.1,10.0,0.6,1281.7,MEDIUM,Appartamento Area Giardino · month 7: promote Mezza Pensione Pranzo → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,8,PEAK,Appartamento Area Giardino,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,20,39,33.33,141.45,242.34,100.89,10.0,2.0,1240.92,MEDIUM,Appartamento Area Giardino · month 8: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,6,SHOULDER,Appartamento Area Giardino,Mezza Pensione,Pensione Completa,PROMOTE_UPSELL,47,22,22.68,191.91,239.37,47.46,10.0,4.7,1048.78,MEDIUM,Appartamento Area Giardino · month 6: promote Mezza Pensione → Pensione Completa to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
2025,7,PEAK,Appartamento Area Giardino,Bed & Breakfast,Mezza Pensione,PROMOTE_UPSELL,10,42,41.58,88.0,236.56,148.56,10.0,1.0,995.34,MEDIUM,Appartamento Area Giardino · month 7: promote Bed & Breakfast → Mezza Pensione to a controlled test cohort (10% target).,EVIDENCE-BASED TEST CANDIDATE ONLY. No booking-level treatment transition is observed. Economic value uses total-package ADR premium as a proxy and is NON-ADDITIVE.
