scenario,arrangement_name,stay_year,stay_month_num,booking_window,confidence,historical_revenue,historical_adr,benchmark_adr,simulated_adr,incremental_revenue,note
low_adoption,Pensione Completa,2024,7,91-180,HIGH,119839.5,204.16,285.62,214.87,3768.95,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2024,7,91-180,HIGH,119839.5,204.16,285.62,222.53,4254.3,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2024,7,91-180,HIGH,119839.5,204.16,285.62,230.19,1767.63,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2024,6,61-90,HIGH,47520.6,110.77,173.18,116.59,1494.52,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2024,6,61-90,HIGH,47520.6,110.77,173.18,120.74,1686.98,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2024,6,61-90,HIGH,47520.6,110.77,173.18,124.89,700.93,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,8,91-180,HIGH,110145.4,232.37,273.32,244.57,3464.07,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,8,91-180,HIGH,110145.4,232.37,273.32,253.29,3910.16,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,8,91-180,HIGH,110145.4,232.37,273.32,262.0,1624.64,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2024,7,91-180,HIGH,40533.5,177.78,245.16,187.11,1274.78,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2024,7,91-180,HIGH,40533.5,177.78,245.16,193.78,1438.94,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2024,7,91-180,HIGH,40533.5,177.78,245.16,200.45,597.87,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,8,31-60,HIGH,39120.1,279.43,387.56,294.1,1230.33,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,8,31-60,HIGH,39120.1,279.43,387.56,304.58,1388.76,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,8,31-60,HIGH,39120.1,279.43,387.56,315.06,577.02,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2024,6,31-60,HIGH,14573.9,114.76,222.74,120.78,458.35,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2024,6,31-60,HIGH,14573.9,114.76,222.74,125.08,517.37,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2024,6,31-60,HIGH,14573.9,114.76,222.74,129.39,214.97,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2024,6,15-30,HIGH,14849.5,118.8,219.81,125.03,467.02,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2024,6,15-30,HIGH,14849.5,118.8,219.81,129.49,527.16,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2024,6,15-30,HIGH,14849.5,118.8,219.81,133.94,219.03,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2024,7,61-90,HIGH,25041.0,176.35,257.13,185.6,787.54,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2024,7,61-90,HIGH,25041.0,176.35,257.13,192.22,888.96,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2024,7,61-90,HIGH,25041.0,176.35,257.13,198.83,369.35,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,7,0-7,HIGH,28634.06,223.7,304.31,235.45,900.54,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,7,0-7,HIGH,28634.06,223.7,304.31,243.84,1016.51,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,7,0-7,HIGH,28634.06,223.7,304.31,252.23,422.35,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2026,6,31-60,HIGH,46818.43,176.01,208.68,185.25,1472.44,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2026,6,31-60,HIGH,46818.43,176.01,208.68,191.85,1662.05,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2026,6,31-60,HIGH,46818.43,176.01,208.68,198.45,690.57,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2025,7,91-180,MEDIUM,33171.08,228.77,285.62,240.78,1043.23,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2025,7,91-180,MEDIUM,33171.08,228.77,285.62,249.36,1177.57,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2025,7,91-180,MEDIUM,33171.08,228.77,285.62,257.93,489.27,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2025,7,61-90,MEDIUM,22915.5,189.38,257.13,199.33,720.69,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2025,7,61-90,MEDIUM,22915.5,189.38,257.13,206.43,813.5,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2025,7,61-90,MEDIUM,22915.5,189.38,257.13,213.53,338.0,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,7,15-30,HIGH,32468.19,251.69,293.32,264.91,1021.12,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,7,15-30,HIGH,32468.19,251.69,293.32,274.34,1152.62,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,7,15-30,HIGH,32468.19,251.69,293.32,283.78,478.91,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2024,9,0-7,HIGH,19113.35,134.6,170.45,141.67,601.11,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2024,9,0-7,HIGH,19113.35,134.6,170.45,146.72,678.52,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2024,9,0-7,HIGH,19113.35,134.6,170.45,151.76,281.92,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2025,7,0-7,HIGH,10100.16,117.44,176.56,123.61,317.65,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2025,7,0-7,HIGH,10100.16,117.44,176.56,128.01,358.56,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2025,7,0-7,HIGH,10100.16,117.44,176.56,132.42,148.98,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,8,0-7,HIGH,24674.58,246.75,297.39,259.7,776.02,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,8,0-7,HIGH,24674.58,246.75,297.39,268.95,875.95,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,8,0-7,HIGH,24674.58,246.75,297.39,278.21,363.95,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,6,91-180,HIGH,15846.69,161.7,211.26,170.19,498.38,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,6,91-180,HIGH,15846.69,161.7,211.26,176.25,562.56,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,6,91-180,HIGH,15846.69,161.7,211.26,182.32,233.74,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2024,7,31-60,HIGH,29996.0,254.2,294.95,267.55,943.37,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2024,7,31-60,HIGH,29996.0,254.2,294.95,277.08,1064.86,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2024,7,31-60,HIGH,29996.0,254.2,294.95,286.61,442.44,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,7,31-60,HIGH,39089.07,231.3,256.94,240.27,704.96,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,7,31-60,HIGH,39089.07,231.3,256.94,246.69,516.22,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,7,31-60,HIGH,39089.07,231.3,256.94,253.1,-593.0,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,7,8-14,HIGH,25151.63,267.57,309.59,281.62,791.02,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,7,8-14,HIGH,25151.63,267.57,309.59,291.65,892.88,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,7,8-14,HIGH,25151.63,267.57,309.59,301.69,370.99,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,7,61-90,MEDIUM,27806.65,237.66,268.86,248.58,696.0,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,7,61-90,MEDIUM,27806.65,237.66,268.86,256.38,690.47,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,7,61-90,MEDIUM,27806.65,237.66,268.86,264.18,11.99,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2026,7,8-14,HIGH,14814.72,259.91,309.59,273.55,465.92,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2026,7,8-14,HIGH,14814.72,259.91,309.59,283.3,525.92,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2026,7,8-14,HIGH,14814.72,259.91,309.59,293.05,218.52,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2026,6,8-14,HIGH,11012.94,150.86,185.97,158.78,346.36,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2026,6,8-14,HIGH,11012.94,150.86,185.97,164.44,390.96,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2026,6,8-14,HIGH,11012.94,150.86,185.97,170.1,162.44,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2025,6,8-14,HIGH,18944.2,166.18,185.97,173.1,394.99,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2025,6,8-14,HIGH,18944.2,166.18,185.97,178.05,338.82,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2025,6,8-14,HIGH,18944.2,166.18,185.97,183.0,-168.43,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2026,6,15-30,HIGH,17568.16,195.2,219.81,203.82,408.33,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2026,6,15-30,HIGH,17568.16,195.2,219.81,209.97,384.06,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2026,6,15-30,HIGH,17568.16,195.2,219.81,216.12,-62.45,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2024,6,0-7,HIGH,13694.0,131.67,143.11,135.68,134.13,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2024,6,0-7,HIGH,13694.0,131.67,143.11,138.54,-6.67,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2024,6,0-7,HIGH,13694.0,131.67,143.11,141.4,-459.41,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Pensione Completa,2025,9,0-7,HIGH,9039.93,158.6,171.29,163.04,67.32,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Pensione Completa,2025,9,0-7,HIGH,9039.93,158.6,171.29,166.21,-39.68,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Pensione Completa,2025,9,0-7,HIGH,9039.93,158.6,171.29,169.38,-350.62,NON-ADDITIVE with room opportunity totals; same stay revenue base.
low_adoption,Mezza Pensione,2024,7,0-7,HIGH,14284.55,291.52,304.31,296.0,-70.75,NON-ADDITIVE with room opportunity totals; same stay revenue base.
recommended,Mezza Pensione,2024,7,0-7,HIGH,14284.55,291.52,304.31,299.19,-357.03,NON-ADDITIVE with room opportunity totals; same stay revenue base.
full_optimization,Mezza Pensione,2024,7,0-7,HIGH,14284.55,291.52,304.31,302.39,-949.06,NON-ADDITIVE with room opportunity totals; same stay revenue base.
